|time|Rank|Product Names|Stars|Reviews|Authors/Company|Edition/Console|Price_std_or_min|Max_prices
0|2020-07-31 00:38|1.0|Militec-1 Condicionador de metais 200ML|||||72.9|
1|2020-07-31 00:38|10.0|Caixa Plástica, Com 1 Bandeja Vonder|||||24.38|
2|2020-07-31 00:38|11.0|Multilaser Luva Moto Street Tam. Gg Com Protetor Dorso E Palma Dedo Longo Atrio - Mt042|||||51.46|
3|2020-07-31 00:38|12.0|Wd-40 Spray Produto Multiusos 300 Ml|||||25.64|
4|2020-07-31 00:38|13.0|Jogo Frisos Laterais Slim, Flash Acessórios, Cobalt Azul - Blue Eyes (04 Peças)|||||33.07|247.19
5|2020-07-31 00:38|14.0|Carregador inteligente de bateria 127 V~ CIB 400 VONDER Vonder||||||
6|2020-07-31 00:38|15.0|Pro Tork Capacete R8 Fosco 58 Cinza/Vermelho|||||101.95|
7|2020-07-31 00:38|16.0|Kit de 17 peças, Jogo de Tapetes Civic 2012/2013/2014/2015/2016 Porta Objetos Copo Titanium Tapetes Automotivos KF1002C Grafite|||||43.99|
8|2020-07-31 00:38|17.0|Revitalizador de Couro 3M Refresh|||||44.9|
9|2020-07-31 00:38|18.0|Auxiliar Partida Veicular Emergência Bateria Portátil Tm15|||||229.99|
10|2020-07-31 00:38|19.0|Luva X11 Thermic - Segunda Pele|||||44.9|
11|2020-07-31 00:38|2.0|Tapete Carpete, Flash Acessórios, Chery QQ Grafite (05 Peças)|||||39.07|141.72
12|2020-07-31 00:38|20.0|Pro Tork Capacete New Liberty Three 60 Preto|||||69.0|
13|2020-07-31 00:38|21.0|Multilaser Reparador De Pneus Para Emergencias 450Ml Danos Até 5Mm Única Utilização - Au400|||||26.28|
14|2020-07-31 00:38|22.0|Concentrado Para Radiadores Celsius Tropical Verde Stp/Celsius 1L|||||16.99|
15|2020-07-31 00:38|23.0|Aditivo Combustível Perfect Clean 500ml para Motores Etanol, Gasolina, Gnv e Flex Koube|||||30.9|
16|2020-07-31 00:38|24.0|Multilaser Capa De Proteção Para Pet Resistente Á Água Furação Para Cinto Preto - Au307|||||49.9|
17|2020-07-31 00:38|25.0|Elimina Riscos Para Carros 3m Auto 120gr 3m|||||29.97|
18|2020-07-31 00:38|26.0|Odorizante Proauto Breeze Citrus 60 G|||||6.7|8900.0
19|2020-07-31 00:38|27.0|Centralsul Quimica Maxxi Visao Antiembaçante Spray 60Ml||||||
20|2020-07-31 00:38|28.0|Multilaser Lâmpada Superled Cob 3D H4 20W 6200K 2800 Lumens - Au845|||||48.19|220.0
21|2020-07-31 00:38|29.0|Pneu Remold Monaco 175/70 R13|||||168.7|
22|2020-07-31 00:38|3.0|Tapete PVC, Flash Acessórios, Celta Todos (04 Peças)|||||29.84|147.29
23|2020-07-31 00:38|30.0|Auto Bike Long Life Braço De Alumínio (Para Todos Racks ) Inclui 3 Kits De Fixação|||||225.99|
24|2020-07-31 00:38|31.0|Capacete Ebf E0X War 56/Preto Fosco/Verde|||||192.38|206.98
25|2020-07-31 00:38|32.0|Pro Tork Capacete Sport Moto For Girls 60 Rosa|||||84.0|
26|2020-07-31 00:38|33.0|Mini Aspirador De Pó Luxcar Universal|||||68.9|
27|2020-07-31 00:38|34.0|Multilaser Gps Lcd 7 Pol. Touch Tv Digital Rádio Fm Com Câmera De Ré Avin - Gp039|||||413.96|
28|2020-07-31 00:38|35.0|Tasso Tipo Recurvado, KingTony BR, 9CF-220|||||31.33|
29|2020-07-31 00:38|36.0|Tasso Modelo Cunha Vonder|||||48.75|
30|2020-07-31 00:38|37.0|Tasso Modelo Salto Vonder|||||20.68|
31|2020-07-31 00:38|38.0|Capacete Ebf Spark Black Edition 56/Preto Fosco/Pra|||||121.62|143.19
32|2020-07-31 00:38|39.0|Bagageiro Suporte Bauleto Givi SR2124 Factor 150 2016|||||110.0|
33|2020-07-31 00:38|4.0|Bauleto 45 Litros Smart Box 2, Pro Tork , Lente Fumê|||||98.0|123.18
34|2020-07-31 00:38|40.0|Capa Protetora Banco De Moto Térmica Durável Nylon Preta|||||19.9|
35|2020-07-31 00:38|41.0|"Central Multimídia AVH-G228BT Pioneer 6,2"" 2Din"|||||884.23|
36|2020-07-31 00:38|42.0|LIMPA TELAS EM AEROSSOL PROAUTO 150 ML - GRÁTIS PANO DE MICROFIBRA|||||18.79|
37|2020-07-31 00:38|43.0|Multilaser Lâmpada Automotiva H7 12V 55W Super Branca Par - Au808|||||27.0|
38|2020-07-31 00:38|44.0|Pneu Michelin Aro 16 265/70R16 LTX Force 112T|||||837.9|
39|2020-07-31 00:38|45.0|Centralsul Quimica Graxa Branca Aerossol 300Ml|||||36.26|
40|2020-07-31 00:38|46.0|Capa Para Cobrir Carro Lite Tam. G Luxcar Grande||||||
41|2020-07-31 00:38|47.0|Palheta Dianteira  -  Af14 - Bosch - Aerofit Unitário|||||19.9|51.0
42|2020-07-31 00:38|48.0|Pro Tork Capacete Sport Moto 58 Prata|||||84.0|
43|2020-07-31 00:38|49.0|Pro Tork Capacete Evolution G7 56 Azul/Amarelo|||||151.18|172.72
44|2020-07-31 00:38|5.0|Limpa e Hidrata Couro Proauto 150 g|||||13.9|
45|2020-07-31 00:38|50.0|Kit com Corda Elastica Flat Com 60 Cm Reese 5. 5 X 21 X 7. 5|||||18.76|
46|2020-07-31 00:38|6.0|Pro Tork Capacete Super Sport Moto 2019 Fosco 60 Preto/Grafite|||||74.4|
47|2020-07-31 00:38|7.0|Pro Tork Capacete Evolution G7 Fosco 56 Preto/Amarelo|||||111.66|159.0
48|2020-07-31 00:38|8.0|Auto Cera Brilho 200g 3M|||||19.39|
49|2020-07-31 00:38|9.0|Cera Cristalizadora Proauto com Carnaúba 500 ml|||||19.9|
50|2020-07-31 11:00|1.0|Militec-1 Condicionador de metais 200ML|||||72.9|
51|2020-07-31 11:00|10.0|Wd-40 Spray Produto Multiusos 300 Ml|||||25.64|
52|2020-07-31 11:00|11.0|Auto Cera Brilho 200g 3M|||||19.39|
53|2020-07-31 11:00|12.0|Pro Tork Capacete Super Sport Moto 2019 Fosco 60 Preto/Grafite|||||74.4|
54|2020-07-31 11:00|13.0|Multilaser Reparador De Pneus Para Emergencias 450Ml Danos Até 5Mm Única Utilização - Au400|||||26.28|
55|2020-07-31 11:00|14.0|Cera Cristalizadora Proauto com Carnaúba 500 ml|||||19.9|
56|2020-07-31 11:00|15.0|Capa de Couro para Volante Preto com Costura Vermelha com Agulha e Linha|||||22.5|
57|2020-07-31 11:00|16.0|Manopla De Cambio + Coifa Citroen C3 Com Aro Cromado 2004 até 2012, Xsara Picasso 1998 a 2010|||||38.49|
58|2020-07-31 11:00|17.0|Suporte Porta Oculos Jeep Compass 2012 a 2020 Renegade 2016 a 2020 Original Mopar Longitude Limited|||||236.77|
59|2020-07-31 11:00|18.0|Pro Tork Capacete Liberty Compact Summer 58 Preto Fosco|||||119.78|
60|2020-07-31 11:00|19.0|Pro Tork Capacete Evolution G7 Fosco 56 Preto/Amarelo|||||111.66|159.0
61|2020-07-31 11:00|2.0|Tapete PVC, Flash Acessórios, Celta Todos (04 Peças)|||||29.84|147.29
62|2020-07-31 11:00|20.0|SOS Pneus Proauto 350 ml|||||34.9|
63|2020-07-31 11:00|21.0|Toalha De Microfibra Vonder 45 X 38 Cm|||||39.9|
64|2020-07-31 11:00|22.0|Kit Completo para Limpeza e Hidratação de Couro 200g Wurth|||||28.99|
65|2020-07-31 11:00|23.0|Multilaser Luva Moto Street Tam. Gg Com Protetor Dorso E Palma Dedo Longo Atrio - Mt042|||||51.46|
