|time|Rank|Product Names|Stars|Reviews|Authors/Company|Edition/Console|Price_std_or_min|Max_prices
0|2020-08-01 18:02|1.0|Huggies Fralda Supreme Care Hiper M, 80 Fraldas,  A Embalagem Pode Variar|||||51.9|54.9
1|2020-08-01 18:02|2.0|Toalhas Umedecidas MamyPoko, Pacote com 200 unidades|||||24.9|
2|2020-08-01 18:02|3.0|Fraldas Pampers Recém-Nascido Premium Care Rn 36 Unidades, Pampers|||||14.9|105.57
3|2020-08-01 18:02|4.0|Fralda Pampers Recém-Nascido Confort Sec Rn+ 20 Unidades, Pampers|||||16.1|214.9
4|2020-08-01 18:02|5.0|Huggies Fralda Supreme Care Mega M, 40 Fraldas|||||26.9|34.9
5|2020-08-01 18:02|6.0|Fralda-Calça MamyPoko Tamanho M, Caixa com 84 unidades|||||82.9|
6|2020-08-01 18:02|7.0|Huggies Fralda Supreme Care Roupinha Mega G, 30 Fraldas|||||26.9|
7|2020-08-01 18:02|8.0|Huggies Fralda Tripla Proteção Hiper G, 78 Fraldas|||||56.9|
8|2020-08-01 18:02|9.0|Huggies Lenços Umedecidos Pome, Pacote de 48x6 toalhas, 6 Pacotes|||||59.5|
9|2020-08-01 18:02|10.0|Fraldas descartáveis Babysec Ultrasec Galinha Pintadinha, 20 Unidades, Tamanho P  Até 6 Kg|||||12.59|67.31
10|2020-08-01 18:02|11.0|Huggies Fralda Supreme Care Roupinha Hiper G, 60 Fraldas|||||51.9|56.9
11|2020-08-01 18:02|12.0|Huggies Fralda Tripla Proteção Hiper M, 92 Fraldas|||||56.9|
12|2020-08-01 18:02|13.0|Sabonete Líquido Recém-Nascido, Johnson's, 200ml|||||13.9|
13|2020-08-01 18:02|14.0|Sabonete Líquido Hipoalergénico Gel Lavante Corpo e Cabelo, Mustela Bebê, Azul, Grande/500 Ml|||||40.35|
14|2020-08-01 18:02|15.0|Johnson's Baby Shampoo Infantil Cheirinho Prolongado, 200ml|||||7.99|20.63
