|time|Rank|Product Names|Stars|Reviews|Authors/Company|Edition/Console|Price_std_or_min|Max_prices
0|2020-08-01 18:24|1.0|Aparador de Pelos, Philips, Multigroom MG3711/15, Preto e Cinza e Detalhes em Vermelho|||||155.1|
1|2020-08-01 18:24|2.0|Mondial Cortador de Cabelos Hair Stylo CR-07, 127v, Azul/Prata|||||49.3|126.02
2|2020-08-01 18:24|3.0|Esmalte Studio 35 Adrianatalentosa, Studio 35, Pequeno|||||3.76|6690.0
3|2020-08-01 18:24|4.0|Carga Para Aparelho de Barbear Gillette Mach3 Sensitive Leve 8 Pague 6, Gillette|||||61.54|
4|2020-08-01 18:24|5.0|Aparador de Barba OneBlade, com 2 pentes, 1 velocidade, Cinza Chumbo/Verde Limão, Bivolt- Philips|||||149.0|
5|2020-08-01 18:24|6.0|Hidratante Corporal Intensive Extra Care, Neutrogena, 400 ml|||||20.9|
6|2020-08-01 18:24|7.0|Inoar Kit R‚sistance Fibra De Bambu - Shampoo E Condicionador 1000ml|||||42.9|
7|2020-08-01 18:24|8.0|Máscara Super Hidratante Morte Súbita, Lola Cosmetics, 450g|||||37.9|
8|2020-08-01 18:24|9.0|Água Micelar 5 em 1, L'Oréal Paris, 100 ml|||||16.23|59.0
9|2020-08-01 18:24|10.0|Sabonete Alfazema Provençal, PHEBO, Lilás, 100g|||||3.69|5990.0
10|2020-08-01 18:24|11.0|Secador de Cabelos, Mondial, SC-32, Golden Rose|||||89.9|180.35
11|2020-08-01 18:24|12.0|Sérum Facial Vitamina C 10, Tracta|||||53.9|
12|2020-08-01 18:24|13.0|Modelador 1 Curves, Taiff, Bivolt|||||148.98|
13|2020-08-01 18:24|14.0|Johnson's Baby Shampoo Infantil Cheirinho Prolongado, 200ml|||||7.99|20.63
14|2020-08-01 18:24|15.0|Gel Hidratante Facial Hydro Boost Water FPS 25, Neutrogena, 55g|||||44.7|
15|2020-08-01 18:24|16.0|Esmalte Studio35 09Ml #50Tonsparte2 14, Studio 35, Pequeno|||||3.76|10.99
16|2020-08-01 18:24|17.0|Be(M)dita Ghee Reconstrução Papaia, 100g, Lola Cosmetics|||||15.9|
17|2020-08-01 18:24|18.0|Be(M)dita Ghee Nutrição Abacaxi, 100g, Lola Cosmetics|||||16.5|
18|2020-08-01 18:24|19.0|Hidratante Corporal Intensive Comfort, Neutrogena, 200ml|||||14.35|43.29
19|2020-08-01 18:24|20.0|Inoar Kit Shampoo e Condicionador Blends Vitamina C 1L, Inoar|||||46.9|
20|2020-08-01 18:24|21.0|Hastes Flexíveis, Cotonetes, 300 Unidades|||||3.69|13.9
21|2020-08-01 18:24|22.0|Be(M)dita Ghee Hidratação Banana, 100g, Lola Cosmetics|||||15.8|
22|2020-08-01 18:24|23.0|Esmalte Studio 35 Romero Brito2 #Deliciagelada, Studio 35, Pequeno|||||3.76|
23|2020-08-01 18:24|24.0|Corretivo Efeito Matte, Tracta, Amarelo|||||14.25|25.24
24|2020-08-01 18:24|25.0|Difusor Curves Preto, Taiff|||||49.0|
25|2020-08-01 18:24|26.0|Kit Shampoo + Condicionador Inoar Resistance Flor De Lotus 1L|||||44.9|
26|2020-08-01 18:24|27.0|Esmalte Studio 35 Romero Britto Acreditenamagia, Studio 35, Pequeno|||||3.76|10.99
27|2020-08-01 18:24|28.0|Kit Urban Shampoo + Óleo + Pomada- Grátis Necessarie, Urban, Incolor/Branco Transparente, pacote de 3|||||55.21|
28|2020-08-01 18:24|29.0|Gel Higienizante 70% Blue 500Ml, Giovanna Baby, Azul|||||15.5|29.9
29|2020-08-01 18:24|30.0|Barbeador elétrico seco ou molhado Shaver 1100, 1 velocidade, Azul Malibu, Bivolt- Philips|||||198.9|
30|2020-08-01 18:24|31.0|Dream Cream 3 Kg, Lola Cosmetics|||||25.9|194.99
31|2020-08-01 18:24|32.0|Barbeador 3 Lâminas GSH1000 W&D, Bivolt, Gama Italy|||||161.1|
32|2020-08-01 18:24|33.0|Álcool Primogel 60ml, LC Primo Gel, 60ml|||||7.9|11.99
33|2020-08-01 18:24|34.0|Chapa Cerâmica Preta, Taiff, Bivolt|||||98.9|
34|2020-08-01 18:24|35.0|Esponja de Limpeza Facial, Océane, Acqua|||||16.99|39.0
35|2020-08-01 18:24|36.0|Protetor Solar Facial FPS 30 50g, L'Oréal Paris|||||34.98|49.9
36|2020-08-01 18:24|37.0|Sabonete Líquido Palmolive Nutri-Milk Hidratante 250ml|||||4.99|
37|2020-08-01 18:24|38.0|Creme Hidratante Toque Seco, Bepantol Derma, 30g|||||29.9|
38|2020-08-01 18:24|39.0|Condicionador Infantil Cabelos Claros, Johnson's, 200ml|||||12.78|26.36
39|2020-08-01 18:24|40.0|Esponja de Maquiagem, Océane, Acqua|||||28.9|50.9
40|2020-08-01 18:24|41.0|Pinga Cenoura e Oliva, Lola Cosmetics|||||21.9|
41|2020-08-01 18:24|42.0|Inoar Kit Shampoo e Condicionador Argan Oil Hidratante 1000 Ml, Inoar, Não|||||53.67|
42|2020-08-01 18:24|43.0|Biondina, Anaconda, Anaconda|||||27.13|
43|2020-08-01 18:24|44.0|Esmalte Bali, Risqué, 8 Ml|||||2.99|39.3
44|2020-08-01 18:24|45.0|L'Oréal Paris Água Micelar Bifásica, 100ml|||||18.99|58.58
45|2020-08-01 18:24|46.0|Esmalte 1018 CI Cream, Dailus, Cherry Coast|||||5.65|11.12
46|2020-08-01 18:24|47.0|Carga para Aparelho de Barbear Gillette Fusion Proshield - 2 unidades|||||29.9|
47|2020-08-01 18:24|48.0|Iluminador Facial Compacto, Queen Fashion|||||5.46|
48|2020-08-01 18:24|49.0|Sabonete Facial Deep Clean Grapefruit, Neutrogena, 80 g|||||15.9|47.93
49|2020-08-01 18:24|50.0|Gel de Limpeza Profunda Deep Clean, Neutrogena, 150g|||||24.4|
50|2020-08-01 18:28|1.0|Aparador de Pelos, Philips, Multigroom MG3711/15, Preto e Cinza e Detalhes em Vermelho|||||155.1|
51|2020-08-01 18:28|2.0|Mondial Cortador de Cabelos Hair Stylo CR-07, 127v, Azul/Prata|||||49.3|126.02
52|2020-08-01 18:28|3.0|Esmalte Studio 35 Adrianatalentosa, Studio 35, Pequeno|||||3.76|6690.0
53|2020-08-01 18:28|4.0|Carga Para Aparelho de Barbear Gillette Mach3 Sensitive Leve 8 Pague 6, Gillette|||||61.54|
54|2020-08-01 18:28|5.0|Aparador de Barba OneBlade, com 2 pentes, 1 velocidade, Cinza Chumbo/Verde Limão, Bivolt- Philips|||||149.0|
55|2020-08-01 18:28|6.0|Hidratante Corporal Intensive Extra Care, Neutrogena, 400 ml|||||20.9|
56|2020-08-01 18:28|7.0|Inoar Kit R‚sistance Fibra De Bambu - Shampoo E Condicionador 1000ml|||||42.9|
57|2020-08-01 18:28|8.0|Máscara Super Hidratante Morte Súbita, Lola Cosmetics, 450g|||||37.9|
58|2020-08-01 18:28|9.0|Água Micelar 5 em 1, L'Oréal Paris, 100 ml|||||16.23|59.0
59|2020-08-01 18:28|10.0|Sabonete Alfazema Provençal, PHEBO, Lilás, 100g|||||3.69|5990.0
60|2020-08-01 18:28|11.0|Secador de Cabelos, Mondial, SC-32, Golden Rose|||||89.9|180.35
61|2020-08-01 18:28|12.0|Sérum Facial Vitamina C 10, Tracta|||||53.9|
62|2020-08-01 18:28|13.0|Modelador 1 Curves, Taiff, Bivolt|||||148.98|
63|2020-08-01 18:28|14.0|Johnson's Baby Shampoo Infantil Cheirinho Prolongado, 200ml|||||7.99|20.63
64|2020-08-01 18:28|15.0|Gel Hidratante Facial Hydro Boost Water FPS 25, Neutrogena, 55g|||||44.7|
65|2020-08-01 18:28|16.0|Esmalte Studio35 09Ml #50Tonsparte2 14, Studio 35, Pequeno|||||3.76|10.99
66|2020-08-01 18:28|17.0|Be(M)dita Ghee Reconstrução Papaia, 100g, Lola Cosmetics|||||15.9|
67|2020-08-01 18:28|18.0|Be(M)dita Ghee Nutrição Abacaxi, 100g, Lola Cosmetics|||||16.5|
68|2020-08-01 18:28|19.0|Hidratante Corporal Intensive Comfort, Neutrogena, 200ml|||||14.35|43.29
69|2020-08-01 18:28|20.0|Inoar Kit Shampoo e Condicionador Blends Vitamina C 1L, Inoar|||||46.9|
70|2020-08-01 18:28|21.0|Hastes Flexíveis, Cotonetes, 300 Unidades|||||3.69|13.9
71|2020-08-01 18:28|22.0|Be(M)dita Ghee Hidratação Banana, 100g, Lola Cosmetics|||||15.8|
72|2020-08-01 18:28|23.0|Esmalte Studio 35 Romero Brito2 #Deliciagelada, Studio 35, Pequeno|||||3.76|
73|2020-08-01 18:28|24.0|Corretivo Efeito Matte, Tracta, Amarelo|||||14.25|25.24
74|2020-08-01 18:28|25.0|Difusor Curves Preto, Taiff|||||49.0|
75|2020-08-01 18:28|26.0|Kit Shampoo + Condicionador Inoar Resistance Flor De Lotus 1L|||||44.9|
76|2020-08-01 18:28|27.0|Esmalte Studio 35 Romero Britto Acreditenamagia, Studio 35, Pequeno|||||3.76|10.99
77|2020-08-01 18:28|28.0|Kit Urban Shampoo + Óleo + Pomada- Grátis Necessarie, Urban, Incolor/Branco Transparente, pacote de 3|||||55.21|
