|time|Rank|Product Names|Stars|Reviews|Authors/Company|Edition/Console|Price_std_or_min|Max_prices
0|2020-07-31 00:39|1.0|Mulheres que correm com os lobos|||Clarissa Pinkola Estés|Capa dura|36.0|
1|2020-07-31 00:39|2.0|As Crônicas de Nárnia. Brochura||||Capa comum|26.9|
2|2020-07-31 00:39|3.0|Do Mil ao Milhão. Sem Cortar o Cafezinho.||||Capa comum|23.73|
3|2020-07-31 00:39|4.0|Mais esperto que o Diabo: O mistério revelado da liberdade e do sucesso||||Capa comum|24.7|
4|2020-07-31 00:39|5.0|Sol da meia-noite: (Midnight Sun) - Série Crepúsculo + Pôster exclusivo + Postal com recado da autora: 1|||Stephenie Meyer|Capa comum|59.9|
5|2020-07-31 00:39|6.0|Solo Leveling – Volume 02 (Full Color)|||Chugong|Capa comum|42.3|
6|2020-07-31 00:39|7.0|Pequeno manual antirracista|||Djamila Ribeiro|Capa comum|17.4|
7|2020-07-31 00:39|8.0|O morro dos ventos uivantes|||Emily Bronte|Capa comum|11.44|
8|2020-07-31 00:39|9.0|O conto da aia||||Capa comum|21.2|
9|2020-07-31 00:39|10.0|Rita, Help! Me ensina a cozinhar|||Rita Lobo|Capa comum|24.9|
10|2020-07-31 00:39|11.0|A revolução dos bichos: Um conto de fadas||||Capa comum|29.9|
11|2020-07-31 00:39|12.0|Coraline - Acompanha marcador de páginas especial|||Neil Gaiman|Capa dura|37.2|
12|2020-07-31 00:39|13.0|O milagre da manhã||||Capa comum|26.9|
13|2020-07-31 00:39|14.0|O poder do hábito||||Capa comum|44.9|
14|2020-07-31 00:39|15.0|Os segredos da mente milionária|||T. Harv Eker|Capa comum|27.9|
15|2020-07-31 00:39|16.0|O investidor inteligente||||Capa comum|48.99|
16|2020-07-31 00:39|17.0|Mindset: A nova psicologia do sucesso|||Carol S. Dweck|Capa comum|39.9|
17|2020-07-31 00:39|18.0|O homem mais rico da Babilônia||||Capa comum|20.9|
18|2020-07-31 00:39|19.0|Anne I. Pacote de 3 livros: Edição Especial I|||Lucy Maud Montgomery|Capa comum|35.9|
19|2020-07-31 00:39|20.0|Fahrenheit 451||||Capa comum|26.9|
20|2020-07-31 00:39|21.0|Sapiens - Uma Breve História da Humanidade||||Capa comum|43.99|
