|time|Rank|Product Names|Stars|Reviews|Authors/Company|Edition/Console|Price_std_or_min|Max_prices
0|2020-08-01 18:22|1.0|Wacom One CTL472 - Mesa Digitalizadora, Preto / Vermelho|||||379.0|
1|2020-08-01 18:22|2.0|Multilaser MO251 - Mouse Sem Fio 2.4 Ghz 1200 DPI Usb, Preto|||||29.9|
2|2020-08-01 18:22|3.0|Suporte para Notebook, OCTOO, Uptable, UP-BL, Preto|||||47.54|
3|2020-08-01 18:22|4.0|Repetidor Expansor TP-Link Wi-Fi Network 300Mbps - TL-WA850RE|||||151.99|
4|2020-08-01 18:22|5.0|Mouse Logitech M170 Wireless Preto - 910-004940|||||58.13|
5|2020-08-01 18:22|6.0|MULTILASER Combo Teclado e Mouse Sem Fio de Entrada Multimídia USB - TC212, Preto|||||82.99|
6|2020-08-01 18:22|7.0|Base Cooler Vertical Para Notebook Multilaser - AC166|||||64.49|
7|2020-08-01 18:22|8.0|SUPORTE para NOTEBOOK ST35031 PRETO, MASTICMOL, 0|||||29.82|
8|2020-08-01 18:22|9.0|Suporte para Notebook, OCTOO, Uptable Chrome, UP-02, Cromado|||||59.5|
9|2020-08-01 18:22|10.0|Multilaser AC021 - Mouse Pad com Apoio Gel Pequeno, Preto|||||30.6|
10|2020-08-01 18:22|11.0|Cabo Sincronização/Recarga USB Tipo-C Reversível, ELG, TCUSBE, Branco|||||18.9|
11|2020-08-01 18:22|12.0|Mouse Logitech M90 USB Preto - 910-004053|||||24.9|
12|2020-08-01 18:22|13.0|Mouse Pad Gamer SPEED MPG102 Preto FORTREK|||||37.82|
13|2020-08-01 18:22|14.0|Honorall Full HD 1080 P Webcam USB Mini Câmera de Computador Microfone Embutido, Rotativo Flexível, para Laptops, Desktop e Jogos|||||109.0|
14|2020-08-01 18:22|15.0|C3Tech NBC-50 Base para Notebook, Preto|||||60.25|
15|2020-08-01 18:22|16.0|Monitor LG 19.5'' LED HD - HDMI, 2ms, Ajuste de Inclinação, Reader Mode, 4-Screen Split, 20MK400H-B|||||499.0|
16|2020-08-01 18:22|17.0|Teclado + Mouse Logitech MK220 Wireless Preto - 920-004431|||||123.22|
17|2020-08-01 18:22|18.0|Base para Mouse, Maxprint|||||12.9|
18|2020-08-01 18:22|19.0|Multilaser AC024 - Mouse Pad com Apoio Gel Grande, Preto|||||33.78|
19|2020-08-01 18:22|20.0|Pasta Térmica Seringa 5G, IMPLASTEC, THERMAL SILVER, Prata|||||21.9|
20|2020-08-01 18:22|21.0|SSD, Kingston, SA400S37/480G|||||420.0|
21|2020-08-01 18:22|22.0|Pen Drive Twist 2.0 32Gb Usb Leitura 10Mb/S E Gravação 3Mb/S Preto Multilaser - Pd589|||||34.84|
22|2020-08-01 18:22|23.0|Multifuncional Epson Ecotank L4160 - Tanque de Tinta Colorida, Wi-Fi Direct, Frente e Verso Automático, Bivolt|||||0.01569|
23|2020-08-01 18:22|24.0|Teclado Básico Slim Preto Usb Multilaser- TC204|||||25.31|
24|2020-08-01 18:22|25.0|TP-Link AC1200 - Archer C6 Roteador Wireless Dual Band|||||386.29|
25|2020-08-01 18:22|26.0|"Notebook Lenovo Ultrafino Ideapad S145 i5-8265U, 8GB , 256GB SSD, GeForce MX110 com 2GB dedicados GDDR5, Tela 15.6"", 81S9000LBR, Prata"|||||0.0392393|
