|time|Rank|Product Names|Stars|Reviews|Authors/Company|Edition/Console|Price_std_or_min|Max_prices
0|2020-07-31 00:39|1.0|PROCRASTINAÇÃO: Guia científico sobre como parar de procrastinar (definitivamente)|||Lilian Soares|eBook Kindle|7.99|
1|2020-07-31 00:39|2.0|Esquecendo Sebastian|||Loud Chaos|eBook Kindle|6.99|
2|2020-07-31 00:39|3.0|Todos os beijos que roubei: Parte I (Príncipes do Diamantes Livro 2)|||Raiza Varella|eBook Kindle|9.99|
3|2020-07-31 00:39|4.0|Poder Da Execução De Metas: O Guia Definitivo Para Criar Metas e Objetivos Eficientes Que Dão Resultado||||eBook Kindle|1.99|
4|2020-07-31 00:39|5.0|WARD - Box Vol. 1 e 2|||Cleo Luz|eBook Kindle|4.99|
5|2020-07-31 00:39|6.0|Inglês Fluente (3 em 1): Fluente Em 6 Meses: Aprenda Inglês do Zero, Segredo da Fluência: Como Aprender Inglês Com Frases e O Poder das Frases: Aprenda Inglês 8 Vezes Mais Rápido!||||eBook Kindle|12.99|
6|2020-07-31 00:39|7.0|Te juro amor em silêncio (Príncipes do Diamante Livro 1)||||eBook Kindle|1.99|
7|2020-07-31 00:39|8.0|Blade Runner||||eBook Kindle|20.42|
8|2020-07-31 00:39|9.0|Vendida para Logan (Clube Secreto)||||eBook Kindle|1.99|
9|2020-07-31 00:39|10.0|Uma Noite Para Sempre|||Lucy Benton|eBook Kindle|6.99|
10|2020-07-31 00:39|11.0|O rei do petróleo (Família Kingston Livro 1)|||Cinthia Basso|eBook Kindle|5.99|
11|2020-07-31 00:39|12.0|Tudo Nela Brilha E Queima||||eBook Kindle|18.79|
12|2020-07-31 00:39|13.0|O pequeno príncipe|||Antoine de Saint-Exupéry|eBook Kindle|2.45|
13|2020-07-31 00:39|14.0|A noiva grávida e o (ex)melhor amigo (Minha redenção Livro 2)||||eBook Kindle|1.99|
14|2020-07-31 00:39|15.0|A virgem e o cafajeste (im)perfeito (Minha redenção Livro 1)||||eBook Kindle|1.99|
15|2020-07-31 00:39|16.0|500 Frases de Grandes Pensadores||||eBook Kindle|1.99|
16|2020-07-31 00:39|17.0|Técnicas de conversação para principiantes: Como agradar, discutir e se defender: Como iniciar uma conversa agradável, argumentar e se defender||||eBook Kindle|15.36|
17|2020-07-31 00:39|18.0|108 contos e parábolas orientais||||eBook Kindle|22.7|
18|2020-07-31 00:39|19.0|Black: O lado escuro do coração - Ato II ( Box + Ato I )|||Juliana Dantas|eBook Kindle|5.99|
19|2020-07-31 00:39|20.0|Arrume a sua cama|||William H. Mcraven|eBook Kindle|18.9|
20|2020-07-31 00:39|21.0|Vendida Para Bryan (Clube Secreto)||||eBook Kindle|1.99|
21|2020-07-31 00:39|22.0|Domine sua mente - Como usar o pensamento crítico, o ceticismo e a lógica para pensar com clareza e evitar ser manipulado: Estratégias comprovadas para melhorar a tomada de decisões e pensar melhor||||eBook Kindle|15.36|
22|2020-07-31 00:39|23.0|Técnicas proibidas - Persuasão e influência usando padrões de linguagem e técnicas de PNL: Como persuadir, influenciar e manipular usando padrões de linguagem e técnicas de PNL. Crescimento pessoal||||eBook Kindle|3.69|
23|2020-07-31 00:39|24.0|Harry Potter e a Pedra Filosofal||||eBook Kindle|22.41|
24|2020-07-31 00:39|25.0|Inesperada Sedução||||eBook Kindle|7.9|
25|2020-07-31 00:39|26.0|A coragem de ser imperfeito||||eBook Kindle|7.11|
26|2020-07-31 00:39|27.0|A linguagem corporal dos lideres: Como essa linguagem silenciosa pode ajudar||||eBook Kindle|25.11|
27|2020-07-31 00:39|28.0|CEO DOMINADO|||LARA SMITHE|eBook Kindle|8.99|
28|2020-07-31 00:39|29.0|Amante Britânico|||Penelope Ward|eBook Kindle|19.95|
29|2020-07-31 00:39|30.0|Essencialismo: A disciplinada busca por menos|||Greg McKeown|eBook Kindle|7.97|
30|2020-07-31 00:39|31.0|Pertença-me (Cowboys Indomáveis - Arthur Stefano Livro 1)|||Janice Diniz|eBook Kindle|5.99|
31|2020-07-31 00:39|32.0|A Metamorfose: Texto integral (Clássicos Melhoramentos)||||eBook Kindle|20.61|
32|2020-07-31 00:39|33.0|Captain Marvel Vol. 1: Higher, Further, Faster, More (Captain Marvel (2014-2015)) (English Edition)||||eBook Kindle|39.9|
33|2020-07-31 00:39|34.0|Antologia Apaixonados|||KF ASSESSORIA LITERARIA|eBook Kindle|3.49|
34|2020-07-31 00:39|35.0|Memorize como Sherlock Holmes - Aprenda e domine a técnica do palácio da memória: Técnica comprovada para memorizar qualquer coisa. Você não será capaz de esquecer, mesmo se quiser||||eBook Kindle|14.99|
35|2020-07-31 00:39|36.0|Como convencer alguém em 90 segundos||||eBook Kindle|9.95|
36|2020-07-31 00:39|37.0|Lições de Valor com Warren Buffett & Charlie Munger: Ensinamentos para quem investe em Bolsa com foco no longo prazo (Suno Call Livro 1)|||Tiago Reis|eBook Kindle|20.0|
37|2020-07-31 00:39|38.0|Como aumentar o seu próprio salário||||eBook Kindle|8.97|
38|2020-07-31 00:39|39.0|Ritmo Imperfeito: O Segredo da Minha Melhor Amiga (Amor & Ritmo Livro 3)||||eBook Kindle|3.99|
39|2020-07-31 00:39|40.0|A Esposa Virgem do Sheik|||Jhonatas Nilson|eBook Kindle|1.99|
40|2020-07-31 00:39|41.0|Ostra feliz não faz pérola||||eBook Kindle|28.5|
41|2020-07-31 00:39|42.0|Mais Esperto que o Diabo: O mistério revelado da liberdade e do sucesso||||eBook Kindle|9.81|
42|2020-07-31 00:39|43.0|O sucesso é ser feliz||||eBook Kindle|1.99|
43|2020-07-31 00:39|44.0|Quase Tudo que eu sei sobre Carteira de Ações - 2020||||eBook Kindle|9.9|
44|2020-07-31 00:39|45.0|"Sua Excelência (""Café da Gloria"" Livro 1)"|||Novatzky. F|eBook Kindle|13.75|
45|2020-07-31 00:39|46.0|Pai de Aluguel|||J.J. Cabral|eBook Kindle|6.9|
46|2020-07-31 00:39|47.0|O Pequeno príncipe|||Antoine de Saint Exupéry|eBook Kindle|9.9|
47|2020-07-31 00:39|48.0|Uma Chance Perfeita (Amores Reconstruídos - Com volumes independentes Livro 2)|||GISA SR|eBook Kindle|3.99|
48|2020-07-31 00:39|49.0|Uma Babá em Apuros|||Jéssica Driely|eBook Kindle|6.99|
49|2020-07-31 00:39|50.0|Mil beijos de garoto||||eBook Kindle|31.82|
