|time|Rank|Product Names|Stars|Reviews|Authors/Company|Edition/Console|Price_std_or_min|Max_prices
0|2020-07-31 00:39|1.0|Star Wars: A Ascensão Skywalker [Blu-ray]|||Daisy Ridley|Blu-ray|28.9|
1|2020-07-31 00:39|2.0|Homem Aranha Longe de Casa [Blu-Ray]|||Tom Holland|Blu-ray|29.9|
2|2020-07-31 00:39|3.0|Era Uma Vez Em... Hollywood [Blu-Ray]|||Leonardo DiCaprio|Blu-ray|39.9|
3|2020-07-31 00:39|4.0|Ad Astra: Rumo Às Estrelas [Blu-Ray]|||Brad Pitt|Blu-ray|28.9|
4|2020-07-31 00:39|5.0|Homem Aranha: No Aranhaverso|||Shameik Moore; Nicolas Cage; Liev|Blu-ray|29.9|
5|2020-07-31 00:39|6.0|AVES DE RAPINA: ARLEQUINA E SUA EMANCIPAÇÃO FANTABULOSA|||MARGOT ROBBIE|Blu-ray|69.9|
6|2020-07-31 00:39|7.0|Rainer Werner Fassbinder [Digistak com 3 DVD’s]|||Margit Carstensen; Hanna Schygulla;|DVD|89.9|
7|2020-07-31 00:39|8.0|Infiltrado Na Klan|||John David Washington Alec Baldwin|DVD|16.9|
8|2020-07-31 00:39|9.0|Rocky A Saga Completa [Dvd]|||Sylvester Stallone; Talia Shire|DVD|65.71|
9|2020-07-31 00:39|10.0|Branca De Neve E Os Sete Anões Edição Diamante [DVD] Duplo|||Adriana Caselotti|DVD|19.9|
10|2020-07-31 00:39|11.0|A Bela E A Fera Edição Especial [DVD]|||Paige Ohara|DVD|19.9|
11|2020-07-31 00:39|12.0|Sandy & Junior - Quatro Estações O Show, Universal Music - DVD|||Sandy & Junior|DVD|32.9|
12|2020-07-31 00:39|13.0|Frozen 2 [Blu-ray]|||Idina Menzel|Blu-ray|39.9|
13|2020-07-31 00:39|14.0|O Rei Leão [DVD]|||Matthew Broderick|DVD|19.9|
14|2020-07-31 00:39|15.0|A Bela E A Fera [DVD]|||Emma Watson|DVD|19.9|
15|2020-07-31 00:39|16.0|Cinderela [DVD]|||Ilene Woods|DVD|19.9|
16|2020-07-31 00:39|17.0|Star Wars: A Ascensão Skywalker - Steelbook Duplo [Blu-ray]|||Daisy Ridley|Blu-ray|129.9|
17|2020-07-31 00:39|18.0|Pinóquio Edição Platinum [DVD] Duplo|||Dickie Jones|DVD|19.9|
18|2020-07-31 00:39|19.0|Coringa [Blu-Ray]|||Joaquin Phoenix|Blu-ray|69.9|
19|2020-07-31 00:39|20.0|Era Uma Vez em... Hollywood [DVD]|||Leonardo DiCaprio|DVD|19.9|
20|2020-07-31 00:39|21.0|This Is Us - 1ª Temporada|||Milo Ventimiglia; Mandy Moore;|DVD|19.9|
21|2020-07-31 00:39|22.0|Blade Runner 2049|||Ryan Gosling|DVD|14.9|
22|2020-07-31 00:39|23.0|Fantasia Coleção 2 Filmes [DVD]|||Deems Taylor Wayne Allwine|DVD|19.9|
23|2020-07-31 00:39|24.0|Vingadores. Guerra Infinita [DVD]|||Robert Downey Jr|DVD|19.9|
24|2020-07-31 00:39|25.0|Vingadores: Ultimato Bd Simples|||Robert Downey Jr|Blu-ray|39.9|
25|2020-07-31 00:39|26.0|Coleção Pixar 2018 (20 [DVD]s)|||Diversos|DVD|161.9|
26|2020-07-31 00:39|27.0|Vingadores. Guerra Infinita [Blu-ray]|||Robert Downey Jr|Blu-ray|29.9|
27|2020-07-31 00:39|28.0|Aladdin [DVD]|||Will Smith|DVD|29.9|
28|2020-07-31 00:39|29.0|Frozen Uma Aventura Congelante [DVD]|||Kristen Bell|DVD|19.9|
29|2020-07-31 00:39|30.0|Viva A Vida É Uma Festa [Blu-ray]|||Anthony Gonzalez|Blu-ray|29.9|
30|2020-07-31 00:39|31.0|Frozen - Coleção 2 Filmes - Duplo [DVD]|||Idina Menzel|DVD|39.9|
31|2020-07-31 00:39|32.0|Aladdin Edição Diamante [Blu-ray]|||Scott Weinger|Blu-ray|24.9|
32|2020-07-31 00:39|33.0|A Dama E O Vagabundo [DVD]|||Barbara Ludy|DVD|19.9|
33|2020-07-31 00:39|34.0|Por um Punhado de Dólares|||Clint Eastwood|DVD|29.99|
34|2020-07-31 00:39|35.0|Me Chame Pelo Seu Nome|||Armie Hammer|DVD|16.9|
35|2020-07-31 00:39|36.0|Guardiões Da Galáxia Volume 2 [Blu-ray]|||Chris Pratt|Blu-ray|29.9|
36|2020-07-31 00:39|37.0|Homem Aranha Longe de Casa [DVD]|||Tom Holland|DVD|16.9|
37|2020-07-31 00:39|38.0|Vingadores. Era De Ultron [Blu-ray]|||Robert Downey Jr.|Blu-ray|24.9|
38|2020-07-31 00:39|39.0|Capitão América. O Soldado Invernal [Blu-ray]|||Chris Evans; Sebastian Stan; Scarlet|Blu-ray|24.9|
39|2020-07-31 00:39|40.0|Thor Ragnarok [DVD]|||Chris Hemsworth|DVD|19.9|
40|2020-07-31 00:39|41.0|Duda E Os Gnomos|||David Koechner|Blu-ray|12.9|
41|2020-07-31 00:39|42.0|John Wick 3. Parabélum, Paris Filmes, DVD|||Keanu Reeves; Halle Berry; Ian|DVD|28.9|
42|2020-07-31 00:39|43.0|Atlantis - Coleção 2 FIlmes [Blu-Ray]|||Claudia Christian|Blu-ray|39.9|
43|2020-07-31 00:39|44.0|Star Wars: A Ascensão Skywalker [DVD]|||Daisy Ridley|DVD|21.9|
44|2020-07-31 00:39|45.0|Zezé Di Camargo & Luciano - Ao Vivo Na Estrada|||Zezé Di Camargo & Luciano|DVD|11.9|
45|2020-07-31 00:39|46.0|Divergente [DVD]|||Shailene Woodley|DVD|16.9|
46|2020-07-31 00:39|47.0|Jacques Demy [Digipak com 2 DVD’s]|||Catherine Deneuve; Anouk Aimée;|DVD|58.9|
47|2020-07-31 00:39|48.0|Game of Thrones - a Série Completa [DVD]|||Peter Dinklage Nikolaj|DVD|367.9|
48|2020-07-31 00:39|49.0|Capitão América. Guerra Civil [Blu-ray]|||Chris Evans; Robert Downey Jr;|Blu-ray|24.9|
49|2020-07-31 00:39|50.0|Liga Da Justica [Blu-ray]|||Vários Atores|Blu-ray|24.9|
50|2020-07-31 11:00|1.0|Star Wars: A Ascensão Skywalker [Blu-ray]|||Daisy Ridley|Blu-ray|28.9|
51|2020-07-31 11:00|2.0|Homem Aranha Longe de Casa [Blu-Ray]|||Tom Holland|Blu-ray|29.9|
52|2020-07-31 11:00|3.0|Ad Astra: Rumo Às Estrelas [Blu-Ray]|||Brad Pitt|Blu-ray|39.9|
53|2020-07-31 11:00|4.0|Coleção Pixar 2018 (20 [DVD]s)|||Diversos|DVD|161.9|
54|2020-07-31 11:00|5.0|Era Uma Vez Em... Hollywood [Blu-Ray]|||Leonardo DiCaprio|Blu-ray|39.9|
55|2020-07-31 11:00|6.0|Homem-Aranha No Aranhaverso|||Shameik Moore|DVD|16.9|
56|2020-07-31 11:00|7.0|Homem Aranha: No Aranhaverso|||Shameik Moore; Nicolas Cage; Liev|Blu-ray|29.9|
57|2020-07-31 11:00|8.0|Star Wars: A Ascensão Skywalker - Steelbook Duplo [Blu-ray]|||Daisy Ridley|Blu-ray|129.9|
58|2020-07-31 11:00|9.0|A Bela E A Fera Edição Especial [DVD]|||Paige Ohara|DVD|19.9|
59|2020-07-31 11:00|10.0|Vingadores: Ultimato Bd Simples|||Robert Downey Jr|Blu-ray|39.9|
60|2020-07-31 11:00|11.0|Branca De Neve E Os Sete Anões Edição Diamante [DVD] Duplo|||Adriana Caselotti|DVD|19.9|
61|2020-07-31 11:00|12.0|Infiltrado Na Klan|||John David Washington Alec Baldwin|DVD|16.9|
62|2020-07-31 11:00|13.0|AVES DE RAPINA: ARLEQUINA E SUA EMANCIPAÇÃO FANTABULOSA|||MARGOT ROBBIE|Blu-ray|69.9|
63|2020-07-31 11:00|14.0|O Rei Leão [DVD]|||Matthew Broderick|DVD|19.9|
64|2020-07-31 11:00|15.0|Rainer Werner Fassbinder [Digistak com 3 DVD’s]|||Margit Carstensen; Hanna Schygulla;|DVD|89.9|
65|2020-07-31 11:00|16.0|Frozen 2 [Blu-ray]|||Idina Menzel|Blu-ray|39.9|
66|2020-07-31 11:00|17.0|Fantasia Coleção 2 Filmes [DVD]|||Deems Taylor Wayne Allwine|DVD|19.9|
67|2020-07-31 11:00|18.0|Pinóquio Edição Platinum [DVD] Duplo|||Dickie Jones|DVD|19.9|
68|2020-07-31 11:00|19.0|Cinderela [DVD]|||Ilene Woods|DVD|19.9|
69|2020-07-31 11:00|20.0|O HOMEM INVISÍVEL|||Elisabeth Moss|Blu-ray|69.9|
70|2020-07-31 11:00|21.0|Frozen - Coleção 2 Filmes - Duplo [DVD]|||Idina Menzel|DVD|39.9|
71|2020-07-31 11:00|22.0|A Dama E O Vagabundo [DVD]|||Barbara Ludy|DVD|19.9|
72|2020-07-31 11:00|23.0|Dois Irmãos Uma Jornada Fantástica [Blu-Ray]|||Chris Pratt|Blu-ray|39.9|
73|2020-07-31 11:00|24.0|Sandy - Nós Voz Eles|||Sandy|DVD|39.9|
74|2020-07-31 11:00|25.0|Toy Story 4 [Blu-Ray]|||Tom Hanks|Blu-ray|28.9|
75|2020-07-31 11:00|26.0|A Pequena Sereia Edição Diamante [DVD]|||Rene Auberjonois|DVD|19.9|
76|2020-07-31 11:00|27.0|Era Uma Vez em... Hollywood [DVD]|||Leonardo DiCaprio|DVD|19.9|
77|2020-07-31 11:00|28.0|Maria e João - O Conto das Bruxas|||Sophia Lillis|Blu-ray|49.9|
78|2020-07-31 11:00|29.0|O Touro Ferdinando [Blu-Ray]|||John Cena; Kate McKinnon; David|Blu-ray|29.9|
79|2020-07-31 11:00|30.0|Capitã Marvel [Blu-ray]|||Brie Larson|Blu-ray|39.9|
80|2020-07-31 11:00|31.0|Sandy & Junior - Ao Vivo No Maracanã|||Sandy & Junior|DVD|34.9|
81|2020-07-31 11:00|32.0|Rocky A Saga Completa [Dvd]|||Sylvester Stallone; Talia Shire|DVD|65.71|
82|2020-07-31 11:00|33.0|Sandy & Junior - Quatro Estações O Show, Universal Music - DVD|||Sandy & Junior|DVD|32.9|
83|2020-07-31 11:00|34.0|Batman Cav Trev Res ([Blu-ray])|||Vários Atores|Blu-ray|39.9|
