|time|Rank|Product Names|Stars|Reviews|Authors/Company|Edition/Console|Price_std_or_min|Max_prices
0|2020-08-01 18:13|1.0|Chinelo, Havaianas, Mario Bros, Adulto Unissex|||||39.99|49.9
1|2020-08-01 18:13|2.0|Kit Com 10 Cuecas Cotton Comfort - Polo Match||||||
2|2020-08-01 18:13|3.0|Camisa polo Classic, Aramis, Masculino||||||
3|2020-08-01 18:13|4.0|Kit 6 Meias Atoalhadas Básicas, Trifil, Adulto Unissex|||||25.99|35.99
4|2020-08-01 18:13|5.0|Kit Cueca Boxer Part.B Truck 10 Peças|||||79.9|
5|2020-08-01 18:13|6.0|Camisa Térmicas Masculinas Proteção UV NovaStreet|||||39.0|
6|2020-08-01 18:13|7.0|Meia Masculina Kit 12 Pares Cano Alto Sport Algodão Tamanho 39 a 43|||||49.9|
7|2020-08-01 18:13|8.0|Kit com 5 Camisetas Masculina Básica Algodão Premium|||||89.9|
8|2020-08-01 18:13|9.0|Kit Coturno Casual Masculino + Sapato Masculino Maximo Conforto|||||109.9|
9|2020-08-01 18:13|10.0|Kit com 3 Camisetas Masculina Básica Algodão Premium|||||59.9|
10|2020-08-01 18:13|11.0|Chinelo, Havaianas, Slim Princess, Feminino|||||29.99|49.99
11|2020-08-01 18:13|12.0|Chinelo, Havaianas, Top Athletic, Masculino|||||26.9|31.9
12|2020-08-01 18:13|13.0|Kit 3 Pares de Meia Invisivel, Mash, Masculino|||||13.99|25.99
13|2020-08-01 18:13|14.0|Kit 2 Camisetas Interior, Hanes, Masculino|||||24.99|72.41
14|2020-08-01 18:13|15.0|Kit de 10 Cuecas Boxer, Mash, Masculino|||||144.9|177.0
15|2020-08-01 18:13|16.0|Kit de 6 Cuecas Boxer Algodão, Duomo, Masculino|||||129.99|149.99
16|2020-08-01 18:13|17.0|Kit com 6 Máscaras Microfibra Trifil|||||45.12|
17|2020-08-01 18:13|18.0|Zorba Kit 6 Cuecas Boxer sem Costura Masculino|||||79.99|109.9
18|2020-08-01 18:13|19.0|Kit 03 Bermudas Moletom Polo Marine|||||119.9|
19|2020-08-01 18:13|20.0|Bateria de litio CR2032 cartela com 5 unidades 3v Elgin, Elgin, Baterias|||||8.21|
20|2020-08-01 18:13|21.0|Calça Masculina Moletom Esporte Macio|||||69.9|129.9
21|2020-08-01 18:13|22.0|Kit 3 Cuecas Slip , Mash, Masculino|||||25.45|50.2
22|2020-08-01 18:13|23.0|Kit com 5 Shortinhos Bombom Algodão Penteado|||||59.9|
23|2020-08-01 18:13|24.0|Kit 2 Cuecas Boxer, Mash, Masculino|||||20.96|79.9
24|2020-08-01 18:13|25.0|Cueca Boxer Sem Costura, Mash, Masculino|||||16.99|49.0
25|2020-08-01 18:13|26.0|Kit 8 Camisetas Básicas Masculinas Lisas Confort Novastreet|||||149.0|
26|2020-08-01 18:13|27.0|Chinelo, Havaianas, Slim, Feminino|||||17.99|89.9
27|2020-08-01 18:13|28.0|Kit 5 Shorts Bermudas Moletom Polo Marine|||||159.9|
28|2020-08-01 18:13|29.0|Sandália, Crocs, Crocband|||||129.99|209.99
29|2020-08-01 18:13|30.0|Relógio Casio Vintage|||||143.99|219.9
30|2020-08-01 18:13|31.0|Conjunto Moletom Masculino Com Blusa Canguru + Calça Masculina|||||139.9|
31|2020-08-01 18:13|32.0|Sapatênis Sapato Casual Com Relógio e Carteira Masculino JUILLI R1100DB|||||109.99|
32|2020-08-01 18:13|33.0|Meia Masculina Kit 12 Pares Cano Alto Longo Sport Algodão Colors Tam 39 a 43|||||39.9|
33|2020-08-01 18:13|34.0|Chinelo, Havaianas, Slim Gloss, Feminino|||||26.9|42.0
34|2020-08-01 18:13|35.0|Kit com 3 Máscaras Microfibra Trifil|||||25.29|
35|2020-08-01 18:13|36.0|Kit 3 Pares Sapato Social em Couro Masculino Preto|||||139.9|
36|2020-08-01 18:13|37.0|Conjunto de Pijama Curto Duomo Masculino|||||55.9|
37|2020-08-01 18:13|38.0|Kit Com 4 Cuecas Boxer Lupo Microfribra Sem Costura Adulto Box Masculina 436|||||85.39|
38|2020-08-01 18:13|39.0|Kit 2 calcinhas altas, Trifil, Feminino|||||20.99|35.31
39|2020-08-01 18:13|40.0|Sutiã Média Sustentação, Trifil, Feminino|||||15.9|22.1
40|2020-08-01 18:13|41.0|Kit com 3 Bermudas Masculina Strike Moletom Part.B Listrada|||||79.9|
41|2020-08-01 18:13|42.0|Chinelo, Havaianas, Kids Slim Wonder Woman, Meninas|||||34.99|39.99
42|2020-08-01 18:13|43.0|Chinelo, Havaianas, Brasil, Adulto Unissex|||||19.99|64.26
43|2020-08-01 18:13|44.0|Kit 3 Pares Sapato Social Masculino Veniz|||||134.9|
44|2020-08-01 18:13|45.0|Kit com 2 Cuecas Boxer Algodão, Duomo, Masculino|||||29.99|47.5
45|2020-08-01 18:13|46.0|Chinelo, Havaianas, Color, Adulto Unissex|||||18.99|
46|2020-08-01 18:13|47.0|Kit com 3 Baby Dolls Algodão Penteado Diversos|||||79.9|
47|2020-08-01 18:13|48.0|Trifil Cueca AM Boxer R. Giz Masculino|||||15.9|22.99
48|2020-08-01 18:13|49.0|Óculos de Sol Ray-Ban Hexagonal RB3548NL 001 54-21|||||267.0|
49|2020-08-01 18:13|50.0|Meia Masculina Kit 12 Pares Cano Soquete Sport Algodão Tamanho 39 a 42|||||39.9|49.9
