|time|Rank|Product Names|Stars|Reviews|Authors/Company|Edition/Console|Price_std_or_min|Max_prices
0|2020-08-01 18:24|1.0|SUPORTE para NOTEBOOK ST35031 PRETO, MASTICMOL, 0|||||29.82|
1|2020-08-01 18:24|2.0|"Banqueta Plástica Dobrável Vonder 7"" X 7/8"" Z 60"|||||45.9|
2|2020-08-01 18:24|3.0|Apoio ergonômico para os pés, Souza & Cia, 3704, BLACK PIANO|||||45.6|
3|2020-08-01 18:24|4.0|Mesa para Computador Desk Gamer ME4152 Preto e Vermelho|||||189.0|
4|2020-08-01 18:24|5.0|Mesa Dobrável De Alumínio Com Tampo De Mdf, 900 X 600 Mm Palisad|||||135.0|
5|2020-08-01 18:24|6.0|Suporte Uptable White OCTOO, Branco|||||59.9|
6|2020-08-01 18:24|7.0|Apoio de Pé, Multivisão, APOIO-PR, Preto|||||56.13|
7|2020-08-01 18:24|8.0|Suporte Regulável Para Notebook Reliza|||||24.69|
8|2020-08-01 18:24|9.0|Descanso De Pés Multilaser - AC279|||||42.25|104.34
9|2020-08-01 18:24|10.0|Apoio Ergonômico para os Pés, Souza & Cia, 3703, Tabaco|||||49.2|
10|2020-08-01 18:24|11.0|Gabinete De Banheiro 100% Mdf Lotus 55 Cm Com Espelho Amendoa/branco - Mgm|||||170.0|175.0
11|2020-08-01 18:24|12.0|Encosto p/Apoio Lombar Assento Sente Bem Ergonômico Supermedy|||||26.9|
12|2020-08-01 18:24|13.0|Apoio De Leitura Livro E Notebook - Lundene|||||90.9|127.19
13|2020-08-01 18:24|14.0|Berço Portátil Funny Voyage - Rosa|||||379.0|
14|2020-08-01 18:24|15.0|Apoio para Pés AP25 Preto MASTICMOL, Masticmol, Outros acessórios para notebooks|||||39.9|
15|2020-08-01 18:24|16.0|Conjunto 2 Mesas Lateral e Apoio Retrô Cissa - Off White - Compre Aqui|||||139.9|
16|2020-08-01 18:24|17.0|Degrau Infantil Step Dos Azul, Clingo, Azul|||||43.33|57.9
17|2020-08-01 18:24|18.0|Mesa Suporte Articulado para Notebook com Mousepad - Travas 360° - Ângulo e Altura ajustáveis - Vexz|||||199.99|
18|2020-08-01 18:24|19.0|Mesa para Computador/Escrivaninha 2 Gavetas Branco|||||100.0|
19|2020-08-01 18:24|20.0|Painel Para Tv ate 55 Polegadas Valencia Cafe/rustico - Permobili|||||271.65|291.78
20|2020-08-01 18:24|21.0|Suporte Multiuso Botijão, Vaso, Galão Arthi Cromado|||||30.0|
21|2020-08-01 18:24|22.0|Porta Shampoo e Sabonete, Arthi, Rose Gold|||||40.9|
22|2020-08-01 18:24|23.0|Criado Mudo Retrô Classic Plus - Branco - Mania|||||99.9|
23|2020-08-01 18:24|24.0|Sofá Bahia 2,05m Retrátil, Reclinável com Molas e Almofadas Espresso Móveis Grafite|||||0.013299|
24|2020-08-01 18:24|25.0|Escrivaninha Vitória 1 Porta 1 Gaveta Demóbile|||||149.0|
25|2020-08-01 18:24|26.0|Trocador Porta Fraldas Papi Baby Portátil 66Cm X 40Cm 01 Un, Papi Textil, Azul|||||23.5|29.8
26|2020-08-01 18:24|27.0|Apoio de Pé, Multivisão, APOIO-ABS-NOVO-PR, Preto, Tamanho Único|||||68.2|
27|2020-08-01 18:24|28.0|Balanço Mickey Xalingo Vermelho/Preto|||||139.9|
28|2020-08-01 18:24|29.0|Multivisão, NT-MULT-PR,  Suporte para Notebook, Preto|||||42.5|
29|2020-08-01 18:24|30.0|Guarda-roupa Solteiro Madesa Denver 2 Portas de Correr|||||449.99|
30|2020-08-01 18:24|31.0|CONJUNTO COLCHÃO MAGNÉTICO MASSAGEADOR BIO QUÂNTICO BOX E CABECEIRA QUEEN SIZE AZUL|||||0.02548|
31|2020-08-01 18:24|32.0|Suporte para Notebook, OCTOO, Uptable Cooler, UPC-01, Cromado|||||97.53|
32|2020-08-01 18:24|33.0|Conjunto De Mesa + Cadeira Infantil – Vermelha Junges Vermelho|||||176.49|
33|2020-08-01 18:24|34.0|Conjunto 3 Mesas Centro/Lateral/Apoio Retrô Cissa - Branco - Compre Aqui|||||199.9|
34|2020-08-01 18:24|35.0|Cadeira Gamer Inclinação Até 15º Azul Warrior - Ga161, Warrior, Acessórios para Computador|||||905.0|1294.41
35|2020-08-01 18:24|36.0|Mesa para Computador Office 2 GV Branco New|||||200.0|
36|2020-08-01 18:24|37.0|Descanso Para Os Pés Multilaser - AC059|||||76.42|120.0
37|2020-08-01 18:24|38.0|Kit 4 Cadeiras Eiffel Eames DSW Preta Base Madeira|||||440.0|
38|2020-08-01 18:24|39.0|Colchão Infantil Light D18 para berço - 12x130x70|||||123.98|
39|2020-08-01 18:24|40.0|Cozinha Compacta Suspensa 4 Peças Julia - Poquema - Branco/preto|||||303.0|310.0
