|time|Rank|Product Names|Stars|Reviews|Authors/Company|Edition/Console|Price_std_or_min|Max_prices
0|2020-07-31 00:38|1.0|Licor Baileys Original, 750ml|||||89.0|
1|2020-07-31 00:38|10.0|Baggio Caffe Com 250g - Moído Baggio Café|||||13.0|
2|2020-07-31 00:38|11.0|Bebida Lactea com 15g de proteína Chocolate YoPRO 250ml|||||5.99|
3|2020-07-31 00:38|12.0|Cápsulas de Café Baggio Aroma Caramelo, Compatível com Nespresso, Contém 10 Cápsulas|||||16.9|
4|2020-07-31 00:38|13.0|Baggio Aromas Chocolate Trufado 250g Baggio Café Sabor Chocolate|||||18.79|
5|2020-07-31 00:38|14.0|Whisky Johnnie Walker Black Label, 1L|||||129.9|
6|2020-07-31 00:38|15.0|Whey Zero Lactose Sabor Baunilha Piracanjuba 250ml|||||6.33|
7|2020-07-31 00:38|16.0|Café Gourmet em Grão Cafe Santa Monica 250gr|||||19.79|
8|2020-07-31 00:38|17.0|Biscoito Recheado, Negresco, 140g|||||1.85|
9|2020-07-31 00:38|18.0|Bebida Láctea com 15g de proteína Côco e Batata Doce YoPRO 250ml|||||5.99|
10|2020-07-31 00:38|19.0|Cereal Matinal, Snow Flakes, 120g|||||4.4|14.26
11|2020-07-31 00:38|2.0|Leite Condensado Zero Lactose Piracanjuba 395g|||||6.27|
12|2020-07-31 00:38|20.0|Whisky Jameson 750ml|||||87.0|139.0
13|2020-07-31 00:38|21.0|Vodka Absolut, 1L|||||74.9|
14|2020-07-31 00:38|22.0|Gin Beefeater London Dry 750Ml|||||83.99|
15|2020-07-31 00:38|23.0|Doce Leite Zero Lactose Piracanjuba 350g|||||5.69|
16|2020-07-31 00:38|24.0|Whisky Johnnie Walker Red Label 1L|||||89.9|137.9
17|2020-07-31 00:38|25.0|Cápsulas De Café Aroma Chocolate C/ Menta Baggio, Compatível Com Nespresso, Contém 10 Cápsulas|||||17.9|
18|2020-07-31 00:38|26.0|Whisky Old Parr, 12 anos, 1L|||||129.9|199.0
19|2020-07-31 00:38|27.0|Baggio Aromas Chocolate Com Menta 250g Baggio Café Sabor Chocolate|||||18.79|
20|2020-07-31 00:38|28.0|Kit de Cafés Starbucks by Nespresso - 50 cápsulas|||||112.5|
21|2020-07-31 00:38|29.0|Creme de Leite Zero Lactose Piracanjuba 200g|||||2.86|
22|2020-07-31 00:38|3.0|Composto Lácteo Milnutri Premium Danone Nutricia 400g|||||19.89|41.5
23|2020-07-31 00:38|30.0|Baggio Aromas Caramelo 250g Baggio Café Sabor Caramelo|||||18.79|
24|2020-07-31 00:38|31.0|Leite Condensado, Moça Lata, 395g|||||5.49|
25|2020-07-31 00:38|32.0|Cápsulas de Chá Camomila com Erva Doce Aroma Selezione, Compatível com Nespresso, Contém 10 Cápsulas|||||10.0|
26|2020-07-31 00:38|33.0|Café em Cápsula, Starbucks, Nespresso, House Blend, Lungo, 10 Cápsulas|||||22.5|
27|2020-07-31 00:38|34.0|Bebida Láctea com 15g de proteína Banana YoPRO 250ml|||||5.99|
28|2020-07-31 00:38|35.0|Gin Tanqueray London Dry, 750ml|||||107.91|
29|2020-07-31 00:38|36.0|Whey Zero Lactose Sabor Frutas Vermelhas Piracanjuba 250ml|||||4.29|
30|2020-07-31 00:38|37.0|Café Torrado e Moído, Starbucks, Pike Place Roast, 250g|||||22.5|
31|2020-07-31 00:38|38.0|Gin Gordon's, 750ml|||||64.9|
32|2020-07-31 00:38|39.0|Cápsula de Café Cremoso Gimoka, Compatível Com Nespresso, Contém 10 Cápsulas|||||15.85|
33|2020-07-31 00:38|4.0|Whisky Johnnie Walker Song Of Fire, 750ml|||||95.92|
34|2020-07-31 00:38|40.0|Café Torrado e Moído, Starbucks, Caffè Verona, 250g|||||22.5|
35|2020-07-31 00:38|41.0|Whisky Chivas Regal 12 Anos, 1L|||||125.0|
36|2020-07-31 00:38|42.0|Biscoito Recheado, Prestígio, 140g||||||
37|2020-07-31 00:38|43.0|Bebida Vegetal Amendôa Sem Açúcar Silk 1L|||||12.89|
38|2020-07-31 00:38|44.0|Biscoito, Calipso, Coberto, Chocolate, 130g|||||5.29|
39|2020-07-31 00:38|45.0|Aroma Selezione Cápsulas de Café Espresso Intenso, Compatível com Nespresso, Contém 10 Cápsulas|||||10.0|
40|2020-07-31 00:38|46.0|Cápsulas De Café Espresso Salvatore, Compatível Com Nespresso, Contém 10 Cápsulas|||||11.9|
41|2020-07-31 00:38|47.0|Creme de Avelã com Cacau Zero Flormel 150g|||||13.52|
42|2020-07-31 00:38|48.0|Chimichurri Companhia Das Ervas|||||6.3|
43|2020-07-31 00:38|49.0|Cápsulas De Café Gourmet Clássico Baggio, Compatível Com Nespresso, Contém 10 Cápsulas|||||19.9|
44|2020-07-31 00:38|5.0|Whisky Johnnie Walker 12 anos, Black Label , 750ml|||||109.9|
45|2020-07-31 00:38|50.0|Biscoito Recheado, Chocolate, Passatempo, 130g|||||1.85|
46|2020-07-31 00:38|6.0|Gin Bombay Sapphire Dry London 750 ml|||||88.99|
47|2020-07-31 00:38|7.0|Whisky Johnnie Walker Song Of Ice, 750ml|||||93.49|
48|2020-07-31 00:38|8.0|Whisky Ballantines Finest, 1L|||||69.99|
