|time|Rank|Product Names|Stars|Reviews|Authors/Company|Edition/Console|Price_std_or_min|Max_prices
0|2020-08-01 18:03|1.0|Maleta de ferramentas kit com 129 peças 13564 Sparta|||||79.9|
1|2020-08-01 18:03|2.0|Jogo V-Line 41 Peças, Bosch, 2607017396-000, Azul|||||72.9|
2|2020-08-01 18:03|3.0|JOGO FACAS INOX 9PC PLENUS PRE|||||42.0|105.13
3|2020-08-01 18:03|4.0|Protetor Eletrônico Intelbras com 6 tomadas EPE 1006, Branco|||||39.9|
4|2020-08-01 18:03|5.0|Furadeira de Impacto GSB 13 RE 127V, Bosch 060123D5D1-000, Azul|||||313.9|589.0
5|2020-08-01 18:03|6.0|Parafusadeira/Furadeira GSR 7-14 E 127V, Bosch 06014470D0-000, Azul|||||239.9|
6|2020-08-01 18:03|7.0|Black+Decker LD12SP Parafusadeira / Furadeira 12V com 13 Acessórios, Laranja|||||259.9|
7|2020-08-01 18:03|8.0|Aspirador de Pó Ciclônico 2 em 1 AV12-BR Black Decker - 110 V|||||189.9|309.9
8|2020-08-01 18:03|9.0|Smart Plug Wi-Fi, Positivo Casa Inteligente, ligue ou desligue seus eletrodomésticos através do celular, Compatível com Alexa|||||119.0|179.0
9|2020-08-01 18:03|10.0|Parafusadeira / Furadeira GSR 7-14 E 220V, Bosch 06014470E0-000, Azul|||||247.9|
10|2020-08-01 18:03|11.0|Kit Azul X-Line con 103 unidades, Bosch, 2607017395-000, Azul|||||211.77|
11|2020-08-01 18:03|12.0|Parafusadeira/furadeira A Bateria com Maleta E 11 Acessórios, Bosch, Azul|||||296.27|559.0
12|2020-08-01 18:03|13.0|Protetor Eletronico Intelbras com 8 tomadas EPE 1008+ Branco|||||36.51|99.9
13|2020-08-01 18:03|14.0|Intelbras IC3 - Câmera de Segurança com WiFi HD, Branca|||||215.9|388.93
14|2020-08-01 18:03|15.0|Luva Térmica De Silicone Manga Longa Com Forro Mor|||||42.9|
15|2020-08-01 18:03|16.0|Black+Decker LD12S-BR Parafusadeira/Furadeira 12V, 13 Acessórios, Laranja e Preto|||||229.16|
16|2020-08-01 18:03|17.0|1 Jogo De Fresas Para Madeira Com 12 Peças, Vonder Vdo1838 Vonder|||||113.9|
17|2020-08-01 18:03|18.0|Câmera de Segurança Intelbras Wi-Fi Ic4, Intelbras, Mibo, Branca, Único|||||329.0|
18|2020-08-01 18:03|19.0|Extensão elétrica 10A Preta de 3 Tomadas Bipolar com cabo de 5m Multicraft, EXT3TBI5M|||||12.45|
19|2020-08-01 18:03|20.0|Tupia Gkf 550 127V 550W, Bosch, 06016A00D0-000|||||347.9|457.9
20|2020-08-01 18:03|21.0|Black+Decker Parafusadeira 4.8V com 16 Acessórios|||||144.33|
21|2020-08-01 18:03|22.0|Protetor Eletrônico Intelbras com 4 tomadas EPE 1004|||||32.0|
22|2020-08-01 18:03|23.0|Faqueiro Aço Inox com Faca para Churrasco com 42 Peças Tramontina Laguna Prata|||||139.9|
23|2020-08-01 18:03|24.0|Cadeado com Senha para Bike, Atrio|||||17.9|40.83
24|2020-08-01 18:03|25.0|Fita para Empacotamento, Adelbras 0811000018, Transparente, Pacote de 4|||||14.28|
25|2020-08-01 18:03|26.0|Bomba Elétrica para Galão de Água Recarregável USB (Preta)|||||47.5|
26|2020-08-01 18:03|27.0|Fita Dupla Face 3M Scotch Fixa Forte Transparente - 24 mm x 2 m|||||21.5|
27|2020-08-01 18:03|28.0|Micro Retifica 180W Black+Decker - 110v|||||299.0|339.9
28|2020-08-01 18:03|29.0|Jogo de Brocas e Bits X-line 33 Peças Bosch com Maleta|||||104.92|
29|2020-08-01 18:03|30.0|"Disco de PVC para Lixadeira 4.1/2"", com Sistema Fixa Fácil, Vonder Vdo2752"|||||17.9|
30|2020-08-01 18:03|31.0|Serra Tico-Tico GST 650 450W 127V, Bosch, 06015A80D0-000, Azul|||||296.9|459.2
31|2020-08-01 18:03|32.0|Adelbras 615000018, Fita Crepe 710, 48 x 50 m, Multicor|||||11.3|
32|2020-08-01 18:03|33.0|Tekbond TEK5GGOV, Cola de Alta Resistência, Multicolor|||||6.75|
33|2020-08-01 18:03|34.0|Abafador De Ruídos Tipo Concha Vonder ARV 100|||||16.9|
34|2020-08-01 18:03|35.0|1 Plugue 2 Pólos de 10 Amp, Alumbra, 2711, Cinza|||||1.64|
35|2020-08-01 18:03|36.0|Parafusadeira e Furadeira Impacto 1/2 Pol. Bateria 20V 1,3 Ah Lítio Bivolt 2 Bat ,  DeWalt|||||894.36|1090.0
36|2020-08-01 18:03|37.0|STANLEY STST14003, Caixa Organizadora Pequena, 102 X 201 X 36mm, Preto e Amarelo|||||12.9|75.0
37|2020-08-01 18:03|38.0|Estanho em Fio, 1.2 mm, 60 x 40, com 20 G, Vonder Vdo2340 Vonder, Yellow|||||4.9|
38|2020-08-01 18:03|39.0|Organizador Plástico Simples Para Ferramentas Vd 8020 Vonder|||||17.55|
39|2020-08-01 18:03|40.0|Skil Esmerilhadeira LCM 9002, 220V, F0129002JQ, Preto|||||203.9|
40|2020-08-01 18:03|41.0|Trena à Laser GLM20, Bosch 0601072EG0-000, Azul|||||235.02|531.1
41|2020-08-01 18:03|42.0|Jogo De Chaves Fenda/phillips De Precisão Vonder|||||13.9|
42|2020-08-01 18:03|43.0|Tramontina 41110506 Jogo de Chaves de Fenda com Pontas Intercambiáveis, Conjunto de 6 Peças, Amarelo|||||19.99|
43|2020-08-01 18:03|44.0|Brocas em jogo com 13 peças, Eda, 6XJ, Preto|||||16.0|
44|2020-08-01 18:03|45.0|Parafusadeira/Furadeira 20V Lítio Ion com 50 Acessórios e Maleta, Black+Decker|||||429.9|
45|2020-08-01 18:03|46.0|Câmera Inteligente 360º Wi-Fi - I2GO Home|||||249.0|
46|2020-08-01 18:03|47.0|Bolsa Em Lona Para Ferramentas Vonder|||||36.9|
47|2020-08-01 18:03|48.0|Disco De Lixa Com Velcro, Grao 220 125 Mm, 10 Pçs Mtx|||||6.4|
48|2020-08-01 18:03|49.0|Magnetizador E Desmagnetizador Vonder|||||21.9|
49|2020-08-01 18:03|50.0|Disco De Desbaste Tipo Flap, Grao 80, 115 Mm X 22 Mm Mtx|||||3.99|
50|2020-08-01 18:12|1.0|Maleta de ferramentas kit com 129 peças 13564 Sparta|||||79.9|
51|2020-08-01 18:12|2.0|Jogo V-Line 41 Peças, Bosch, 2607017396-000, Azul|||||72.9|
52|2020-08-01 18:12|3.0|JOGO FACAS INOX 9PC PLENUS PRE|||||42.0|105.13
53|2020-08-01 18:12|4.0|Protetor Eletrônico Intelbras com 6 tomadas EPE 1006, Branco|||||39.9|
54|2020-08-01 18:12|5.0|Furadeira de Impacto GSB 13 RE 127V, Bosch 060123D5D1-000, Azul|||||313.9|589.0
55|2020-08-01 18:12|6.0|Parafusadeira/Furadeira GSR 7-14 E 127V, Bosch 06014470D0-000, Azul|||||239.9|
56|2020-08-01 18:12|7.0|Black+Decker LD12SP Parafusadeira / Furadeira 12V com 13 Acessórios, Laranja|||||259.9|
57|2020-08-01 18:12|8.0|Aspirador de Pó Ciclônico 2 em 1 AV12-BR Black Decker - 110 V|||||189.9|309.9
58|2020-08-01 18:12|9.0|Smart Plug Wi-Fi, Positivo Casa Inteligente, ligue ou desligue seus eletrodomésticos através do celular, Compatível com Alexa|||||119.0|179.0
59|2020-08-01 18:12|10.0|Parafusadeira / Furadeira GSR 7-14 E 220V, Bosch 06014470E0-000, Azul|||||247.9|
60|2020-08-01 18:12|11.0|Kit Azul X-Line con 103 unidades, Bosch, 2607017395-000, Azul|||||211.77|
61|2020-08-01 18:12|12.0|Parafusadeira/furadeira A Bateria com Maleta E 11 Acessórios, Bosch, Azul|||||296.27|559.0
62|2020-08-01 18:12|13.0|Protetor Eletronico Intelbras com 8 tomadas EPE 1008+ Branco|||||36.51|99.9
63|2020-08-01 18:12|14.0|Intelbras IC3 - Câmera de Segurança com WiFi HD, Branca|||||215.9|388.93
64|2020-08-01 18:12|15.0|Luva Térmica De Silicone Manga Longa Com Forro Mor|||||42.9|
65|2020-08-01 18:12|16.0|Black+Decker LD12S-BR Parafusadeira/Furadeira 12V, 13 Acessórios, Laranja e Preto|||||229.16|
66|2020-08-01 18:12|17.0|1 Jogo De Fresas Para Madeira Com 12 Peças, Vonder Vdo1838 Vonder|||||113.9|
67|2020-08-01 18:12|18.0|Câmera de Segurança Intelbras Wi-Fi Ic4, Intelbras, Mibo, Branca, Único|||||329.0|
68|2020-08-01 18:12|19.0|Extensão elétrica 10A Preta de 3 Tomadas Bipolar com cabo de 5m Multicraft, EXT3TBI5M|||||12.45|
69|2020-08-01 18:12|20.0|Tupia Gkf 550 127V 550W, Bosch, 06016A00D0-000|||||347.9|457.9
70|2020-08-01 18:12|21.0|Black+Decker Parafusadeira 4.8V com 16 Acessórios|||||144.33|
71|2020-08-01 18:12|22.0|Protetor Eletrônico Intelbras com 4 tomadas EPE 1004|||||32.0|
72|2020-08-01 18:12|23.0|Faqueiro Aço Inox com Faca para Churrasco com 42 Peças Tramontina Laguna Prata|||||139.9|
73|2020-08-01 18:12|24.0|Cadeado com Senha para Bike, Atrio|||||17.9|40.83
74|2020-08-01 18:12|25.0|Fita para Empacotamento, Adelbras 0811000018, Transparente, Pacote de 4|||||14.28|
75|2020-08-01 18:12|26.0|Bomba Elétrica para Galão de Água Recarregável USB (Preta)|||||47.5|
76|2020-08-01 18:12|27.0|Fita Dupla Face 3M Scotch Fixa Forte Transparente - 24 mm x 2 m|||||21.5|
77|2020-08-01 18:12|28.0|Micro Retifica 180W Black+Decker - 110v|||||299.0|339.9
78|2020-08-01 18:12|29.0|Jogo de Brocas e Bits X-line 33 Peças Bosch com Maleta|||||104.92|
79|2020-08-01 18:12|30.0|"Disco de PVC para Lixadeira 4.1/2"", com Sistema Fixa Fácil, Vonder Vdo2752"|||||17.9|
80|2020-08-01 18:12|31.0|Serra Tico-Tico GST 650 450W 127V, Bosch, 06015A80D0-000, Azul|||||296.9|459.2
81|2020-08-01 18:12|32.0|Adelbras 615000018, Fita Crepe 710, 48 x 50 m, Multicor|||||11.3|
82|2020-08-01 18:12|33.0|Tekbond TEK5GGOV, Cola de Alta Resistência, Multicolor|||||6.75|
83|2020-08-01 18:12|34.0|Abafador De Ruídos Tipo Concha Vonder ARV 100|||||16.9|
84|2020-08-01 18:12|35.0|1 Plugue 2 Pólos de 10 Amp, Alumbra, 2711, Cinza|||||1.64|
