|time|Rank|Product Names|Stars|Reviews|Authors/Company|Edition/Console|Price_std_or_min|Max_prices
0|2020-08-01 18:24|1.0|Flash Limp, Mop Giratório Fit, MOP5010, 8 litros, Cinza|||||59.9|109.99
1|2020-08-01 18:24|2.0|Lava Louças Capim Limão 500Ml, Ypê, Verde|||||1.59|1890.0
2|2020-08-01 18:24|3.0|Kit Casa Conectada, Positivo Casa Inteligente (1 Smart Controle Universal + 1 Smart Lâmpada Wi-Fi + 1 Smart Plug Wi-Fi), Compatível com Alexa|||||310.08|
3|2020-08-01 18:24|4.0|Black+Decker AIR1000-BR Umidificador Bivolt, Branco|||||209.17|
4|2020-08-01 18:24|5.0|Multilaser HO041 - Aspirador de Pó Robô Varre + Aspira + Passa Pano Bivolt com 17W e Bateria Recarregável, Vermelho/Preto|||||484.4|
5|2020-08-01 18:24|6.0|Mop Limpeza Geral Plus Flash Limp Verde|||||29.9|
6|2020-08-01 18:24|7.0|Chuveiro Acqua Duo 220V 7800W, Lorenzetti, 7510098, Branco|||||285.0|640.09
7|2020-08-01 18:24|8.0|Smart Lâmpada Wi-Fi, Positivo Casa Inteligente, LED 10W, Branco Frio e Quente, Compatível com Alexa|||||98.0|
8|2020-08-01 18:24|9.0|Detergente em Pó Para Lava Louças Finish Advanced, 2,5kg|||||80.72|
9|2020-08-01 18:24|10.0|HI by Geonav Lâmpada Inteligente RGB+W, Branco Quente (Amarelo), LED 10W, Wi-Fi, E27,  Controle no Aplicativo, 800 Lumens,  Bivolt, Compatível com Alexa|||||109.0|
10|2020-08-01 18:24|11.0|Mop Spray Com Cabo E Tecido, Noviça, Anis|||||109.9|
11|2020-08-01 18:24|12.0|Desinfetante Aerossol Original, Lysoform, 360ml|||||22.9|38.0
12|2020-08-01 18:24|13.0|Flash Limp, Refil para Mop Giratório, Pró, e 3 em 1, Branco|||||19.9|
13|2020-08-01 18:24|14.0|Flash Limp - Refil para Mop Giratório Fit, Branco, RMOP5011|||||10.85|24.75
14|2020-08-01 18:24|15.0|Água Sanitária 2L, Ypê, Branco, 2L|||||4.99|
15|2020-08-01 18:24|16.0|Mop Giratório Pro Flash Limp Verde|||||136.9|
16|2020-08-01 18:24|17.0|Aspirador de Pó Ciclônico 2 em 1 AV12-BR Black Decker - 110 V|||||189.9|309.9
17|2020-08-01 18:24|18.0|Travesseiro Nasa Up 3 para Fronha, Fibrasca, com Revestimento em Malha 100% Poliéster, Branco, 4615, 50 x 70 cm|||||39.9|
18|2020-08-01 18:24|19.0|Flash Limp, Kit com 2 Esponjas Microfibra e 1 Limpa Telas Spray 120ml, Estampas Sortidas|||||25.01|
19|2020-08-01 18:24|20.0|Lysoform Desinfetante Bruto Original 1 L|||||10.39|
20|2020-08-01 18:24|21.0|Difusor de Óleo Essencial, 7 Cores e 4 Temporizadores, Aromaterapia|||||119.93|225.0
21|2020-08-01 18:24|22.0|Flash Limp, Mop Giratório 3 em 1, refis substituíveis (microfibra, tira pó e limpeza pesada), 12 litros, Verde|||||109.9|129.75
