|time|Rank|Product Names|Stars|Reviews|Authors/Company|Edition/Console|Price_std_or_min|Max_prices
0|2020-07-31 00:39|1.0|Kit 3 peças Máscaras de Proteção em Algodão, Mash|||||19.99|23.41
1|2020-07-31 00:39|2.0|Creme Dental Colgate Total 12 Clean Mint 90G Promo 2 Un C 25% De Desconto|||||6.98|21.0
2|2020-07-31 00:39|3.0|Mascara de Proteção, 186 X 180 X 240 Mm, Brinox, Brinox, Branco e Trasnparente, 186 X 180 X 240 Mm|||||15.03|
3|2020-07-31 00:39|4.0|Balança Digital Digi-Health Serene, Multilaser, Hc021, Branco|||||44.1|138.5
4|2020-07-31 00:39|5.0|Balança Eatsmart Digital LCD, Multilaser, HC039, Branco|||||58.33|
5|2020-07-31 00:39|6.0|Lava Roupas Ola Bebê 500Ml|||||10.39|24.9
6|2020-07-31 00:39|7.0|Escova Dental Colgate Slim Soft Black 2Unid Promo Leve 2 Pague 1|||||19.7|29.85
7|2020-07-31 00:39|8.0|Amaciante Concentrado Downy Brisa de Verão, 500 ml|||||10.99|31.3
8|2020-07-31 00:39|9.0|Gel Higienizante 70% Blue 500Ml, Giovanna Baby, Azul|||||15.5|29.9
9|2020-07-31 00:39|10.0|Repelente Elétrico Líquido 45 Noites Kit Com Aparelho e Refil, SBP|||||11.15|
10|2020-07-31 00:39|11.0|Oximetro portatil de dedo Saúde Medidor de dedo, pulso - pressão e Hemoglobina,Ouro|||||173.9|239.9
11|2020-07-31 00:39|12.0|Kit com 3 Máscaras Microfibra Trifil|||||25.29|
12|2020-07-31 00:39|13.0|Kit 6 peças Máscaras de Proteção em Algodão, Mash|||||45.12|
13|2020-07-31 00:39|14.0|Amaciante Concentrado Downy Suave e Gentil, 500 ml|||||10.9|49.0
14|2020-07-31 00:39|15.0|Óleo Essencial de Lavanda 10 ml, By Samia, Multicor|||||60.9|
15|2020-07-31 00:39|16.0|Kit com 6 Máscaras Microfibra Trifil|||||45.12|
16|2020-07-31 00:39|17.0|Vanish Tira Manchas Oxi Action Kit com 1 Pink 450 g e 1 Crystal White 450 g|||||21.9|
17|2020-07-31 00:39|18.0|Kit 10 Mascaras De Tecido Duplo 100% Algodão Branco Arsie Lingerie, Arsie, Branco, Único|||||26.84|
18|2020-07-31 00:39|19.0|Enxaguante Bucal Colgate Plax Ice Infinity 500Ml Promo Leve 500Ml Pague 250Ml|||||18.49|19.6
19|2020-07-31 00:39|20.0|Kit com 2 Máscaras Algodão Hope|||||14.99|18.71
20|2020-07-31 00:39|21.0|Kit 2x Waxy Whey 900g + BCAA + Creatine 100g + Waxy Maize 800g + Coquet. – Bodybuilders (Chocolate)|||||100.0|
21|2020-07-31 00:39|22.0|Apoio Ergonômico para os Pés, Souza & Cia, 3703, Tabaco|||||49.2|
22|2020-07-31 00:39|23.0|Lenços Umedecidos Pampers Aroma de Aloe Vera 48 Unidades, Pampers|||||8.9|
23|2020-07-31 00:39|24.0|Neve Papel Higiênico Toque de Seda, 12 rolos - Leve 12 Pague 11|||||17.38|45.9
24|2020-07-31 00:39|25.0|Lava Roupas Ariel Expert, 2 L|||||40.96|
25|2020-07-31 00:39|26.0|Escova Dental Colgate 360º Luminous White 2Unid Promo Leve 2 Pague 1|||||13.65|26.47
26|2020-07-31 00:39|27.0|Fio Dental Essencial, Reach, 100m|||||8.49|
27|2020-07-31 00:39|28.0|OXIMETRO DE PULSO OX-06 HC261|||||199.0|
28|2020-07-31 00:39|29.0|Creme Dental Colgate Luminous White Carvão Ativado 70G, Colgate, 70g|||||4.79|
29|2020-07-31 00:39|30.0|Glutamina L-G, Max Titanium, 300 g|||||50.83|
30|2020-07-31 00:39|31.0|Escova Dental Colgate Classic Clean 1Unid|||||2.96|8370.0
31|2020-07-31 00:39|32.0|Óleo Essencial de Alecrim 10 ml, By Samia, Multicor|||||37.84|
32|2020-07-31 00:39|33.0|Amaciante Concentrado Downy Naturals Coco E Menta – 900Ml, Downy|||||10.9|35.05
33|2020-07-31 00:39|34.0|G-Tech Balgl10 Balança Digital em Vidro Temperado, Transparente|||||83.9|
34|2020-07-31 00:39|35.0|Whey Zero Lactose Sabor Frutas Vermelhas Piracanjuba 250ml|||||4.29|
35|2020-07-31 00:39|36.0|Monitor de Pressão Arterial de Braço Elite+, Omron, HEM-7320-BR, Omron|||||296.32|
36|2020-07-31 00:39|37.0|Neve Papel Higiênico Supreme, 12 rolos|||||22.89|29.9
37|2020-07-31 00:39|38.0|Aparelho Medidor de Pressão Automático de Pulso, G-Tech|||||149.02|
38|2020-07-31 00:39|39.0|Vitamina D D-3 10000 IU 360 Softgels - Healthy Origins|||||269.9|
39|2020-07-31 00:39|40.0|Escova Elétrica Oral-B Professional Care 500, 110V|||||199.9|365.08
40|2020-07-31 00:39|41.0|Pilha Alcalina Aa, Duracell|||||38.9|79.99
41|2020-07-31 00:39|42.0|Termômetro Digital Medidor De Temperatura Corporal|||||139.98|
42|2020-07-31 00:39|43.0|Creatine - 150g - Max Titanium, Max Titanium|||||18.5|69.9
43|2020-07-31 00:39|44.0|Talco Hora do Sono, Johnson's, 200g|||||14.44|26.03
44|2020-07-31 00:39|45.0|Violeta Cup Coletor Menstrual Rosa Tipo B, Violeta Cup, Rosa, Tipo B  Mulheres Com Até 29 Anos E Sem Filhos, E/Ou Com Colo Do Útero De Altura Baixa|||||34.92|35.95
45|2020-07-31 00:39|46.0|Óleo Essencial de Tea Tree 10 ml, By Samia, Multicor|||||47.81|
46|2020-07-31 00:39|47.0|Preservativo Lubrificado Ice, Olla, Pacote de 3|||||4.16|6850.0
47|2020-07-31 00:39|48.0|Colchonete para Yoga, Vollo Sports|||||75.9|139.9
48|2020-07-31 00:39|49.0|Bolsa Cristal Comprida Azul Display, Termogel|||||23.6|26.15
49|2020-07-31 00:39|50.0|Ômega 3 Epa Dha 1G (120 Caps), Vitafor|||||57.31|
50|2020-07-31 11:00|1.0|Kit 3 peças Máscaras de Proteção em Algodão, Mash|||||19.99|23.41
51|2020-07-31 11:00|2.0|Creme Dental Colgate Total 12 Clean Mint 90G Promo 2 Un C 25% De Desconto|||||6.98|21.0
52|2020-07-31 11:00|3.0|Mascara de Proteção, 186 X 180 X 240 Mm, Brinox, Brinox, Branco e Trasnparente, 186 X 180 X 240 Mm|||||15.03|
53|2020-07-31 11:00|4.0|Balança Digital Digi-Health Serene, Multilaser, Hc021, Branco|||||44.1|138.5
54|2020-07-31 11:00|5.0|Lava Roupas Ola Bebê 500Ml|||||10.39|24.9
55|2020-07-31 11:00|6.0|Escova Dental Colgate Slim Soft Black 2Unid Promo Leve 2 Pague 1|||||18.98|29.85
56|2020-07-31 11:00|7.0|Balança Eatsmart Digital LCD, Multilaser, HC039, Branco|||||58.33|
57|2020-07-31 11:00|8.0|Amaciante Concentrado Downy Brisa de Verão, 500 ml|||||10.99|31.3
58|2020-07-31 11:00|9.0|Repelente Elétrico Líquido 45 Noites Kit Com Aparelho e Refil, SBP|||||11.15|
59|2020-07-31 11:00|10.0|Gel Higienizante 70% Blue 500Ml, Giovanna Baby, Azul|||||15.5|29.9
60|2020-07-31 11:00|11.0|Oximetro portatil de dedo Saúde Medidor de dedo, pulso - pressão e Hemoglobina,Ouro|||||173.9|239.9
61|2020-07-31 11:00|12.0|Amaciante Concentrado Downy Suave e Gentil, 500 ml|||||10.9|49.0
62|2020-07-31 11:00|13.0|Enxaguante Bucal Colgate Plax Ice Infinity 500Ml Promo Leve 500Ml Pague 250Ml|||||15.29|19.6
63|2020-07-31 11:00|14.0|Kit 6 peças Máscaras de Proteção em Algodão, Mash|||||45.12|
64|2020-07-31 11:00|15.0|Óleo Essencial de Lavanda 10 ml, By Samia, Multicor|||||60.9|
65|2020-07-31 11:00|16.0|Kit com 3 Máscaras Microfibra Trifil|||||25.29|
66|2020-07-31 11:00|17.0|Kit com 6 Máscaras Microfibra Trifil|||||45.12|
67|2020-07-31 11:00|18.0|Kit 10 Mascaras De Tecido Duplo 100% Algodão Branco Arsie Lingerie, Arsie, Branco, Único|||||26.84|
68|2020-07-31 11:00|19.0|Kit com 2 Máscaras Algodão Hope|||||14.99|18.71
69|2020-07-31 11:00|20.0|Fio Dental Essencial, Reach, 100m|||||8.49|
70|2020-07-31 11:00|21.0|Vanish Tira Manchas Oxi Action Kit com 1 Pink 450 g e 1 Crystal White 450 g|||||29.98|
71|2020-07-31 11:00|22.0|Lenços Umedecidos Pampers Aroma de Aloe Vera 48 Unidades, Pampers|||||8.9|
72|2020-07-31 11:00|23.0|Whey Zero Lactose Sabor Frutas Vermelhas Piracanjuba 250ml|||||4.29|
73|2020-07-31 11:00|24.0|Apoio Ergonômico para os Pés, Souza & Cia, 3703, Tabaco|||||49.2|
74|2020-07-31 11:00|25.0|Lava Roupas Ariel Expert, 2 L|||||40.96|
75|2020-07-31 11:00|26.0|Neve Papel Higiênico Supreme, 16 rolos -  Leve 16 Pague 15|||||28.9|
76|2020-07-31 11:00|27.0|Toalhas Umedecidas Sensitive, 48 Unidades, Cuidado & Carinho, 48 Unidades, pacote de 48||||||
77|2020-07-31 11:00|28.0|Escova Dental Colgate 360º Luminous White 2Unid Promo Leve 2 Pague 1|||||13.65|26.47
78|2020-07-31 11:00|29.0|Aparelho Medidor de Pressão Automático de Pulso, G-Tech|||||149.02|
79|2020-07-31 11:00|30.0|Amaciante Concentrado Downy Naturals Coco E Menta – 900Ml, Downy|||||10.9|35.05
80|2020-07-31 11:00|31.0|Neve Papel Higiênico Toque de Seda, 12 rolos - Leve 12 Pague 11|||||17.38|45.9
81|2020-07-31 11:00|32.0|Kit 2x Waxy Whey 900g + BCAA + Creatine 100g + Waxy Maize 800g + Coquet. – Bodybuilders (Chocolate)|||||100.0|
82|2020-07-31 11:00|33.0|Preservativo Jontex Orgasmo em Sintonia, Jontex, Pacote de 2|||||9.91|17.21
83|2020-07-31 11:00|34.0|Creme Dental Colgate Luminous White Carvão Ativado 70G, Colgate, 70g|||||4.79|
84|2020-07-31 11:00|35.0|Neve Papel Higiênico, Premium Comfort, 18 Rolos|||||13.59|36.99
85|2020-07-31 11:00|36.0|G-Tech Balgl10 Balança Digital em Vidro Temperado, Transparente|||||83.9|
86|2020-07-31 11:00|37.0|Preservativo Lubrificado Ice, Olla, Pacote de 3|||||4.16|6850.0
87|2020-07-31 11:00|38.0|Óleo Essencial de Alecrim 10 ml, By Samia, Multicor|||||37.84|
88|2020-07-31 11:00|39.0|Escova Dental Colgate Classic Clean 1Unid|||||2.96|8370.0
89|2020-07-31 11:00|40.0|Máscara de Smmms 5 Camadas, R.Two, 3 unidades|||||7.34|
90|2020-07-31 11:00|41.0|OXIMETRO DE PULSO OX-06 HC261|||||199.0|
91|2020-07-31 11:00|42.0|Glutamina L-G, Max Titanium, 300 g|||||49.55|
92|2020-07-31 11:00|43.0|Creatine - 150g - Max Titanium, Max Titanium|||||18.5|69.9
93|2020-07-31 11:00|44.0|Termômetro Digital Medidor De Temperatura Corporal|||||139.98|
94|2020-07-31 11:00|45.0|Creme Dental Colgate Natural Extracts Detox 90G|||||6.09|7320.0
95|2020-07-31 11:00|46.0|Creme de Massagem Pimenta Negra, D'agua Natural, 650 g|||||50.9|
96|2020-07-31 11:00|47.0|ÔmegaFor Plus - 120 Cápsulas, Vitafor|||||85.22|
97|2020-07-31 11:00|48.0|Óleo Essencial de Tea Tree 10 ml, By Samia, Multicor|||||47.81|
98|2020-07-31 11:00|49.0|Talco Hora do Sono, Johnson's, 200g|||||14.44|26.03
99|2020-07-31 11:00|50.0|Pilha Alcalina Aa, Duracell|||||38.9|79.99
