|time|Rank|Product Names|Stars|Reviews|Authors/Company|Edition/Console|Price_std_or_min|Max_prices
0|2020-07-31 00:39|1.0|Pedra Para Afiar, Dupla Face, Retangular Vonder 6''|||||10.9|18.9
1|2020-07-31 00:39|2.0|Panela de Pressão, Vancouver, Vermelha, 4.5L, Tramontina|||||155.9|449.8
2|2020-07-31 00:39|3.0|Balança Digital de Cozinha, SF-400, Até 10 kg, Escala 1 grama|||||30.5|
3|2020-07-31 00:39|4.0|Cupcake e Muffin Formas Avulsas Silicone, Mor, Vermelho, 12 Unidades|||||19.31|
4|2020-07-31 00:39|5.0|Panela de Pressão, Vancouver, Grafite, 3L, Tramontina|||||153.9|351.7
5|2020-07-31 00:39|6.0|Fritadeira Sem Óleo, Multifuncional, 110v, Oster|||||399.0|739.0
6|2020-07-31 00:39|7.0|Afiador De Facas E Tesouras 23cm X 8,5cm Linha Do Assador Mor|||||58.61|
7|2020-07-31 00:39|8.0|Refil Para Acqua Bella/Vitale, Lorenzetti, 7411004, Branco|||||23.7|
8|2020-07-31 00:39|9.0|Jogo de Facas Plenus 6 Peças Tramontina Plenus Multicor|||||49.9|
9|2020-07-31 00:39|10.0|Pegador Inox Com Ponta Em Silicone 23cm Weck Amarelo|||||20.0|42.5
10|2020-07-31 00:39|11.0|Aquecedor A AR, A-08 - Mondial.|||||83.18|169.0
11|2020-07-31 00:39|12.0|Faqueiro Inox 24pc Malibu Tramontina Inox No Voltagev|||||52.54|
12|2020-07-31 00:39|13.0|Colher Silicone e Bamboo, Mor, Pacote de 1|||||16.46|
13|2020-07-31 00:39|14.0|Jogo de Panelas com Fundo Triplo 4 Peça Tramontina Inox|||||314.0|593.13
14|2020-07-31 00:39|15.0|Black+Decker Misturador Multiuso|||||32.9|
15|2020-07-31 00:39|16.0|Moedor de Café di Grano, Marrom, 110v, Cadence|||||100.9|149.0
16|2020-07-31 00:39|17.0|Faqueiro Aço Inox com Faca para Churrasco com 42 Peças Tramontina Laguna Prata|||||139.9|
17|2020-07-31 00:39|18.0|Panela de Pressão Elétrica, 6L, Preta, 110v, Electrolux|||||499.9|1510.8
18|2020-07-31 00:39|19.0|Pincel de Silicone Pequeno OIKOS|||||29.9|
19|2020-07-31 00:39|20.0|Black & Decker BDV2000V - Vaporizador Portátil de Roupas e Higiênizador, Vapor Continuo, 1200W, 127 V, Preto|||||173.1|359.0
20|2020-07-31 00:39|21.0|Colheres Medidoras, 4 peças, Bronze, Mimo Style|||||39.9|42.9
21|2020-07-31 00:39|22.0|Mimo Style Xícaras Medidoras, 4 peças, Inox, Bronze|||||35.06|79.5
22|2020-07-31 00:39|23.0|Jogo de Panelas Antiaderente Paris Vermelho Tramontina Vermelho Medio|||||347.9|654.35
23|2020-07-31 00:39|24.0|Tábua Bamboo com Cabo, Mor, 38.5 x 20.5 cm, Pacote de 1|||||29.0|46.9
24|2020-07-31 00:39|25.0|Espátula Para Bolo Mimo Style Vermelho/prata|||||18.9|
25|2020-07-31 00:39|26.0|Pipoqueira, Pop time pip B-02, Branco, 110V, Britânia|||||109.99|
26|2020-07-31 00:39|27.0|Assadeira Funda de Alumínio com Revestimento Interno Antiaderente Tramontina Brasil Vermelho|||||35.9|
27|2020-07-31 00:39|28.0|Grill Prensa Com Antiaderente Cerâmico 110V Black+decker Preto 110v|||||131.9|239.9
28|2020-07-31 00:39|29.0|Black+Decker Wine Inox Abridor de Vinho, Prata|||||137.9|
29|2020-07-31 00:39|30.0|Fritadeira Airfryer, 4L, Branco, 110v, Midea|||||429.9|721.39
30|2020-07-31 00:39|31.0|Nespresso Inissia Branca, Cafeteira, 110V|||||329.0|800.0
31|2020-07-31 00:39|32.0|Purificador De Água Vitale, Lorenzetti, 7411016, Branco|||||107.0|
32|2020-07-31 00:39|33.0|Nespresso Essenza Mini, Máquina de Café, 110V, Branco|||||269.0|508.9
33|2020-07-31 00:39|34.0|Aquecedor de Alimento Gourmet Bivolt com 60W 1 Litro Preto Multilaser - CE071|||||79.9|
34|2020-07-31 00:39|35.0|Class Home 767, Pao Duro Inox C/ Silicone 30cm Multicolor|||||13.9|
35|2020-07-31 00:39|36.0|Descascador de Batatas Tramontina Utilità Azul|||||11.72|32.91
36|2020-07-31 00:39|37.0|Cortador De Pizza Mimo Style Prata|||||12.5|
37|2020-07-31 00:39|38.0|Pote de Vidro Tampa Hermética 1,04 L, Invicta|||||29.9|
38|2020-07-31 00:39|39.0|Refil Original Consul (CIX06) - Purificadores de Água (Exclusivos: CPC31 e CPB34) - Troca Fácil - 6 Meses|||||98.0|
39|2020-07-31 00:39|40.0|Cafeteira Expresso Prima Latte, Preto, 110v, Oster|||||949.0|1432.0
40|2020-07-31 00:39|41.0|Nescafé Dolce Gusto Mini Me Automática, Arno, DMM0, Preta|||||369.9|643.9
41|2020-07-31 00:39|42.0|Kit para Cortar, 6 Peças, Tramontina, Ultracorte, Preto|||||127.42|
42|2020-07-31 00:39|43.0|Bomba Elétrica Para Galão De Água Haiz Até 18,9 Litros (Branco)|||||45.0|
43|2020-07-31 00:39|44.0|Cafeteira Prensa Francesa, Preta, Hamilton Beach|||||133.89|
44|2020-07-31 00:39|45.0|Cafeteira Nuova Moka Express 1 Xícara, 1141, Bialetti|||||177.0|719.0
45|2020-07-31 00:39|46.0|Refil Original Consul (CIX01) - Purificadores de Água (Exclusivos: CPC30, CPB35 e CPB36) - Troca Fácil - 9 Meses|||||105.0|
46|2020-07-31 00:39|47.0|Espátula Silicone e Bamboo, Mor, Pacote de 1|||||20.0|
47|2020-07-31 00:39|48.0|Moedor Madeira Mimo Style Bege|||||37.99|
48|2020-07-31 00:39|49.0|Forma de Gelo Flexível Plástico, Sanremo, Polipropileno e Elastômero TPE, Vermelho|||||13.92|
49|2020-07-31 00:39|50.0|Termômetro Multi-Funções, Prana, PG32, Preto|||||30.03|
50|2020-07-31 11:00|1.0|Pedra Para Afiar, Dupla Face, Retangular Vonder 6''|||||10.9|18.9
51|2020-07-31 11:00|2.0|Panela de Pressão, Vancouver, Vermelha, 4.5L, Tramontina|||||152.9|449.8
52|2020-07-31 11:00|3.0|Balança Digital de Cozinha, SF-400, Até 10 kg, Escala 1 grama|||||30.5|
53|2020-07-31 11:00|4.0|Cupcake e Muffin Formas Avulsas Silicone, Mor, Vermelho, 12 Unidades|||||19.31|
