|time|Rank|Product Names|Stars|Reviews|Authors/Company|Edition/Console|Price_std_or_min|Max_prices
0|2020-08-01 18:24|1.0|Tramontina Mangueira Flex Para Jardim, 10 M, Com Engates Rosqueados E Esguicho|||||32.08|114.88
1|2020-08-01 18:24|2.0|Faqueiro Aço Inox com Faca para Churrasco com 42 Peças Tramontina Laguna Prata|||||139.9|
2|2020-08-01 18:24|3.0|Mesa Dobrável De Alumínio Com Tampo De Mdf, 900 X 600 Mm Palisad|||||135.0|
3|2020-08-01 18:24|4.0|Lavadora de Alta Pressão Wap Ousada Plus 2200 - 127 volts|||||442.0|689.99
4|2020-08-01 18:24|5.0|Lavadora De Alta Pressão Wap Ágil 1800 127v Wap Ágil Laranja/preto|||||344.9|573.45
5|2020-08-01 18:24|6.0|Lavadora de Alta Pressão Kala 1200w - 110 volts|||||299.99|379.99
6|2020-08-01 18:24|7.0|Pincel de Silicone Pequeno OIKOS|||||7.41|12.87
7|2020-08-01 18:24|8.0|Lavadora de Alta Pressão Kärcher K3 Turbo - 127 volts|||||575.9|
8|2020-08-01 18:24|9.0|Kit Churrasco Grand Chef (7 Peças) FIX-UD 3601|||||77.0|
9|2020-08-01 18:24|10.0|Tesoura Para Poda Palisad 180 mm com Trava e Mola Cabo Revestido de Borracha|||||24.9|
10|2020-08-01 18:24|11.0|Lavadora De Alta Pressão Electrolux Power Wash Eco (Ews30) - 110 volts|||||399.9|744.9
11|2020-08-01 18:24|12.0|Piscina 1.000 Litros Mor|||||89.8|727.78
12|2020-08-01 18:24|13.0|Churrasqueira Elétrica Grill Menu, Cadence, Preto, 110v|||||129.9|209.99
13|2020-08-01 18:24|14.0|Black+Decker G2200 Grill Elétrico 3 em 1, com Abertura 180°, Preto|||||299.9|629.9
14|2020-08-01 18:24|15.0|Lavadora De Alta Pressão Wap Premier 2600 127v Wap Premier Laranja/preto|||||728.9|899.0
15|2020-08-01 18:24|16.0|Inflador Manual Dupla Ação Mor|||||10.99|
16|2020-08-01 18:24|17.0|Piscina Redonda 180 L Mor Estampada|||||50.08|
17|2020-08-01 18:24|18.0|Churrasqueira Califórnia Bacia Esmaltada Mor|||||153.08|
18|2020-08-01 18:24|19.0|Conjunto Para Jardinagem Tramontina Metálico Com Cabo De Madeira 4 Peças|||||15.89|
19|2020-08-01 18:24|20.0|Lavadora de Alta Pressão Kärcher K3 Turbo - 220 volts|||||592.9|
20|2020-08-01 18:24|21.0|Conector Fêmea De Plástico Com Bucha De 1/2 Para 3/4 Com Rosca Interna Palisad||||||
21|2020-08-01 18:24|22.0|Vaso Orquidea 15 X 16 cm Taupe|||||12.63|24.99
22|2020-08-01 18:24|23.0|Kit Talheres Picnik Maped Rosa|||||30.96|42.31
23|2020-08-01 18:24|24.0|Vaso Lattice Esfera 34 Japi Lattice Esfera Cafe|||||42.9|
24|2020-08-01 18:24|25.0|Lavadora De Alta Pressão Wap Líder 2200 220v Wap Líder Laranja/preto|||||921.15|999.99
25|2020-08-01 18:24|26.0|Tramontina Pulverizador Manual 0,5 L||||||
26|2020-08-01 18:24|27.0|Lavadora de Alta Pressão Kärcher K3 Black - 127 volts|||||493.9|
27|2020-08-01 18:24|28.0|Lavadora De Alta Pressão Wap Combate Turbo 2600 127V|||||988.0|999.9
28|2020-08-01 18:24|29.0|Tramontina Suporte Fixo parra Mangueiras, até 35 M, Verde, 78592000|||||9.99|
29|2020-08-01 18:24|30.0|Churrasqueira Montana Mor|||||94.9|
30|2020-08-01 18:24|31.0|Churrasqueira Giulietta 127 V Cotherm Inox|||||110.31|
31|2020-08-01 18:24|32.0|Tesoura De Poda Tramontina Com Lâmina Metálica E Cabo Plástico|||||16.9|
32|2020-08-01 18:24|33.0|Pincel de Silicone com Cabo de Madeira OIKOS|||||21.63|
33|2020-08-01 18:24|34.0|Tramontina Mangueira Flex Para Jardim, 15 M, Con Esgates Rosqueados, Esguicho E Suporte Mural|||||67.65|99.9
34|2020-08-01 18:24|35.0|Esguicho Tipo Pistola Com 7 Posições De Jato Palisad|||||12.3|
35|2020-08-01 18:24|36.0|Lavadora Alta Pressão Karcher K2 Black 127V|||||399.99|
36|2020-08-01 18:24|37.0|Jardineira Siena 30 X 17 cm Vasart Taupe Siena|||||19.94|44.49
37|2020-08-01 18:24|38.0|Tramontina Mangueira Flex Para Jardim, 10 M|||||30.21|135.57
38|2020-08-01 18:24|39.0|Termômetro para Forno e Churrasqueira Profissional Aço Inox|||||50.62|
39|2020-08-01 18:24|40.0|Pão de baguete Cabilock antiaderente perfurado francês assadeira 3 pães ondulados assadeira de pão francês para assar no forno (ouro champanhe)|||||130.29|
40|2020-08-01 18:24|41.0|Saca-areia Mor|||||14.38|
41|2020-08-01 18:24|42.0|Lavadora de Alta Pressão PowerWash Plus Electrolux (EWS31) - 110 volts|||||433.32|984.9
42|2020-08-01 18:24|43.0|Forro Para Piscina Infantil 1.000 Litros Mor|||||19.9|155.9
43|2020-08-01 18:24|44.0|Pulverizador Borrifador Manual 1 Litro Bico Gatilho Spray Azul Branco Perfect Original||||||
44|2020-08-01 18:24|45.0|Mesa Dobrável De Alumínio Com Tampo De Mdf, 600 X 450 Mm Palisad|||||160.0|
45|2020-08-01 18:24|46.0|Vaso Piza 14 X 26 cm Areia Vintage Vasart Piza Areia Vintage 14x26cm|||||18.11|
46|2020-08-01 18:24|47.0|Terra Vegetal Especial Biomix - 10kg|||||11.99|
47|2020-08-01 18:24|48.0|Churrasqueira Para Fogão Antiaderente N°30 Na Caixa Aluminio Oliveira Churrasqueira Para Fogão Antiaderente N°30 Na Caixa Preto No Voltagev|||||75.67|129.9
48|2020-08-01 18:24|49.0|Engate Rápido 1/2'' Com Passagem Livre Palisad|||||2.9|
49|2020-08-01 18:24|50.0|Piscina Easy Set Intex 2362 L|||||209.99|
