|time|Rank|Product Names|Stars|Reviews|Authors/Company|Edition/Console|Price_std_or_min|Max_prices
0|2020-08-01 18:22|1.0|Minecraft|||Mojang||20.0|
1|2020-08-01 18:22|2.0|PJ Masks: Heróis de Corrida|||Entertainment One Ltd||14.9|
2|2020-08-01 18:22|3.0|App Videos for YouTube Kids|||work4mob||11.99|
3|2020-08-01 18:22|4.0|PJ Masks (Heróis de Pijama): Super City Run|||Entertainment One Ltd||10.9|
4|2020-08-01 18:22|5.0|Toca Life: Vacation|||Toca Boca||12.9|
5|2020-08-01 18:22|6.0|Bloons TD 6|||Ninja Kiwi||22.89|
6|2020-08-01 18:22|7.0|Sonic The Hedgehog 2|||Sega of America||6.96|
7|2020-08-01 18:22|8.0|Mia and me - Free the Unicorns!|||KIDDINX Media GmbH||8.59|
8|2020-08-01 18:22|9.0|Clan of Crocodiles|||Wild Foot Games||4.02|
9|2020-08-01 18:22|10.0|Bebê jogos de médico meninas|||bx Apps||3.0|
10|2020-08-01 18:22|11.0|PJ Masks™: Academia de Heróis|||Entertainment One Ltd||22.9|
11|2020-08-01 18:22|12.0|Peppa Pig: As Férias de Peppa Pig|||Entertainment One Ltd||10.9|
12|2020-08-01 18:22|13.0|Toca Life: Hospital|||Toca Boca||12.9|
13|2020-08-01 18:22|14.0|Lalaloopsy Diner|||Cupcake Digital Inc.||7.9|
14|2020-08-01 18:22|15.0|Ultimate Dinosaur Simulator|||Gluten Free Games||3.99|
15|2020-08-01 18:22|16.0|Toca Hair Salon 3|||Toca Boca||12.9|
16|2020-08-01 18:22|17.0|Shuttle+ Music Player|||SimpleCity||4.5|
17|2020-08-01 18:22|18.0|Scary Teacher 3D|||Scary Dudes||4.02|
18|2020-08-01 18:22|19.0|Siren Head Horror Granny SCP 6789|||Bouchnaq||10.76|
19|2020-08-01 18:22|20.0|Pitch Pipe|||DZ Apps||2.22|
20|2020-08-01 18:22|21.0|PartyLights|||PlayAlong tv limited||5.73|
21|2020-08-01 18:22|22.0|Baby Hazel Dental Care|||Axis entertainment limited||2.22|
22|2020-08-01 18:22|23.0|LEGO® Jurassic World™|||Warner Bros||15.71|
23|2020-08-01 18:22|24.0|SEGA Classics|||Sega of America||54.99|
24|2020-08-01 18:22|25.0|Os Mini Titãs - Teen Titans Go|||Cartoon Network||13.3|
25|2020-08-01 18:22|26.0|Blaze and the Monster Machines Desafio da Pista de Obstáculos|||Nickelodeon||18.83|
26|2020-08-01 18:22|27.0|Toca Life: After School|||Toca Boca||12.9|
27|2020-08-01 18:22|28.0|Peppa Pig: Festa da Peppa|||Entertainment One Ltd||10.9|
28|2020-08-01 18:22|29.0|AirReceiver|||龙方儿||6.54|
29|2020-08-01 18:22|30.0|Parque Temático da Peppa Pig|||Entertainment One Ltd||10.9|
30|2020-08-01 18:22|31.0|NERD POWER! BUTTON MOBILE|||Geltab||12.03|
31|2020-08-01 18:22|32.0|Bike Race Pro by Top Free Games|||Top Free Games||1.99|
32|2020-08-01 18:22|33.0|Shimmer e Shine: Jogos de Gênio!|||Nickelodeon||9.72|
33|2020-08-01 18:22|34.0|Toca Kitchen 2|||Toca Boca||12.9|
34|2020-08-01 18:22|35.0|Mini Golf Space Rolling|||T1BNG Games||62.54|
35|2020-08-01 18:22|36.0|ThumbZilla|||SMG Studio||6.62|
36|2020-08-01 18:22|37.0|Sonic CD|||Sega of America||6.71|
37|2020-08-01 18:22|38.0|Extreme Quad Bike Stunts 2015|||Tapinator||3.72|
38|2020-08-01 18:22|39.0|Slime Super Hero : LOL|||Top Tap Games||3.07|
39|2020-08-01 18:22|40.0|Alphabet Party: An Interactive Book for Kids|||cktl||4.54|
40|2020-08-01 18:22|41.0|City Bike Driving 3D|||Tapinator||3.16|
41|2020-08-01 18:22|42.0|Toca Life: Farm|||Toca Boca||12.9|
42|2020-08-01 18:22|43.0|PAW Patrol Air and Sea|||Nickelodeon||14.72|
43|2020-08-01 18:22|44.0|FAP Citroen/Peugeot ELM327 OBD2|||FAP Developer||33.9|
44|2020-08-01 18:22|45.0|Toca Life: Neighborhood|||Toca Boca||12.9|
45|2020-08-01 18:22|46.0|Planet Smash - Gravity Sandbox|||Pocket Labs||6.99|
46|2020-08-01 18:22|47.0|AirPlayMirror Receiver|||NeoYantra Technologies||15.58|
47|2020-08-01 18:22|48.0|Gunfire Ball Attack|||Battle Buzz||268.55|
48|2020-08-01 18:22|49.0|Moon+ Reader Pro|||Moon+ Reader||10.0|
49|2020-08-01 18:22|50.0|Worms 3|||Team17 Digital Ltd||21.83|
50|2020-08-01 18:24|1.0|Minecraft|||Mojang||20.0|
51|2020-08-01 18:24|2.0|PJ Masks: Heróis de Corrida|||Entertainment One Ltd||14.9|
52|2020-08-01 18:24|3.0|App Videos for YouTube Kids|||work4mob||11.99|
53|2020-08-01 18:24|4.0|PJ Masks (Heróis de Pijama): Super City Run|||Entertainment One Ltd||10.9|
54|2020-08-01 18:24|5.0|Toca Life: Vacation|||Toca Boca||12.9|
55|2020-08-01 18:24|6.0|Bloons TD 6|||Ninja Kiwi||22.89|
56|2020-08-01 18:24|7.0|Sonic The Hedgehog 2|||Sega of America||6.96|
57|2020-08-01 18:24|8.0|Mia and me - Free the Unicorns!|||KIDDINX Media GmbH||8.59|
58|2020-08-01 18:24|9.0|Clan of Crocodiles|||Wild Foot Games||4.02|
59|2020-08-01 18:24|10.0|Bebê jogos de médico meninas|||bx Apps||3.0|
60|2020-08-01 18:24|11.0|PJ Masks™: Academia de Heróis|||Entertainment One Ltd||22.9|
61|2020-08-01 18:24|12.0|Peppa Pig: As Férias de Peppa Pig|||Entertainment One Ltd||10.9|
62|2020-08-01 18:24|13.0|Toca Life: Hospital|||Toca Boca||12.9|
63|2020-08-01 18:24|14.0|Lalaloopsy Diner|||Cupcake Digital Inc.||7.9|
64|2020-08-01 18:24|15.0|Ultimate Dinosaur Simulator|||Gluten Free Games||3.99|
65|2020-08-01 18:24|16.0|Toca Hair Salon 3|||Toca Boca||12.9|
66|2020-08-01 18:24|17.0|Shuttle+ Music Player|||SimpleCity||4.5|
67|2020-08-01 18:24|18.0|Scary Teacher 3D|||Scary Dudes||4.02|
68|2020-08-01 18:24|19.0|Siren Head Horror Granny SCP 6789|||Bouchnaq||10.76|
69|2020-08-01 18:24|20.0|Pitch Pipe|||DZ Apps||2.22|
70|2020-08-01 18:24|21.0|PartyLights|||PlayAlong tv limited||5.73|
71|2020-08-01 18:24|22.0|Baby Hazel Dental Care|||Axis entertainment limited||2.22|
72|2020-08-01 18:24|23.0|LEGO® Jurassic World™|||Warner Bros||15.71|
73|2020-08-01 18:24|24.0|SEGA Classics|||Sega of America||54.99|
74|2020-08-01 18:24|25.0|Os Mini Titãs - Teen Titans Go|||Cartoon Network||13.3|
75|2020-08-01 18:24|26.0|Blaze and the Monster Machines Desafio da Pista de Obstáculos|||Nickelodeon||18.83|
76|2020-08-01 18:24|27.0|Toca Life: After School|||Toca Boca||12.9|
77|2020-08-01 18:24|28.0|Peppa Pig: Festa da Peppa|||Entertainment One Ltd||10.9|
78|2020-08-01 18:24|29.0|AirReceiver|||龙方儿||6.54|
79|2020-08-01 18:24|30.0|Parque Temático da Peppa Pig|||Entertainment One Ltd||10.9|
80|2020-08-01 18:24|31.0|NERD POWER! BUTTON MOBILE|||Geltab||12.03|
81|2020-08-01 18:24|32.0|Bike Race Pro by Top Free Games|||Top Free Games||1.99|
82|2020-08-01 18:24|33.0|Shimmer e Shine: Jogos de Gênio!|||Nickelodeon||9.72|
