|time|Rank|Product Names|Stars|Reviews|Authors/Company|Edition/Console|Price_std_or_min|Max_prices
0|2020-07-31 00:39|1.0|"Ratos de Porão, LP ""Brasil""- Série Clássicos em Vinil [Disco de Vinil]"|||Ratos de Porão|Disco de Vinil|104.0|
1|2020-07-31 00:39|2.0|Alucinação - Série Clássicos em Vinil [Disco de Vinil]|||Belchior|Disco de Vinil|110.0|
2|2020-07-31 00:39|3.0|Novos Baianos, Acabou Chorare- Série Clássicos em Vinil [Disco de Vinil]|||Novos Baianos|Disco de Vinil|120.0|
3|2020-07-31 00:39|4.0|Fifth Harmony - Reflection [CD]|||Fifth Harmony|CD de áudio|11.9|
4|2020-07-31 00:39|5.0|The Dark Side Of The Moon [Disco de Vinil]|||Pink Floyd|Disco de Vinil|200.71|
5|2020-07-31 00:39|6.0|Pink Floyd - The Early Years 1967 - 1972 [CD]|||Pink Floyd|CD de áudio|17.9|
6|2020-07-31 00:39|7.0|Pabllo Vittar - Não Para Não [CD]|||Pabllo Vittar|CD de áudio|12.9|
7|2020-07-31 00:39|8.0|Graduate|||Simon & Garfunkel|Disco de Vinil|49.0|
8|2020-07-31 00:39|9.0|Tim Maia, LP Tim Maia - 1973 - Série Clássicos Em Vinil [Disco de Vinil]|||Tim Maia|Disco de Vinil|110.0|
9|2020-07-31 00:39|10.0|Changes|||Justin Bieber|CD de áudio|35.11|
10|2020-07-31 00:39|11.0|Harry Styles [Disco de Vinil]|||Harry Styles|Disco de Vinil|230.0|
11|2020-07-31 00:39|12.0|Jão - Lobos [CD]|||Jão|CD de áudio|27.9|
12|2020-07-31 00:39|13.0|Thriller [Disco de Vinil]|||Michael Jackson|Disco de Vinil|125.66|
13|2020-07-31 00:39|14.0|Arctic Monkeys, Tranquility Base Hotel  Casino [Disco de Vinil]|||Arctic Monkeys|Disco de Vinil|100.0|
14|2020-07-31 00:39|15.0|Secos  Molhados, LP Secos  Molhados - Série Clássicos Em Vinil [Disco de Vinil]|||Secos & Molhados|Disco de Vinil|110.0|
15|2020-07-31 00:39|16.0|Taylor Swift Deluxe [CD]|||Taylor Swift|CD de áudio|30.9|
16|2020-07-31 00:39|17.0|Goo [Disco de Vinil]|||Sonic Youth|Disco de Vinil|125.0|
17|2020-07-31 00:39|18.0|DUA LIPA - FUTURE NOSTALGIA|||DUA LIPA|CD de áudio|39.47|
18|2020-07-31 00:39|19.0|Boarding House Reach|||Jack White|CD de áudio|9.9|
19|2020-07-31 00:39|20.0|Love Yourself: Tear|||Bts|CD de áudio|188.14|
20|2020-07-31 00:39|21.0|Jão - Anti-Heroi - CD|||Jão|CD de áudio|27.9|
21|2020-07-31 00:39|22.0|Danado De Bom|||Luiz Gonzaga|CD de áudio|7.9|
22|2020-07-31 00:39|23.0|Nine Track Mind [CD]|||Charlie Puth|CD de áudio|11.9|
23|2020-07-31 00:39|24.0|Bohemian Rhapsody - The Original Soundtrack [CD]|||Queen|CD de áudio|27.9|
24|2020-07-31 00:39|25.0|Kind of Blue [Disco de Vinil]|||Miles Davis|Disco de Vinil|160.97|
25|2020-07-31 00:39|26.0|Sgt Pepper's Lonely Hearts Club Band (2017 Stereo Mix)|||The Beatles|Disco de Vinil|186.37|
26|2020-07-31 00:39|27.0|Metallica [Disco de Vinil]|||Metallica|Disco de Vinil|326.15|
27|2020-07-31 00:39|28.0|Jards Macale - Contrastes [CD]|||Jards Macale|CD de áudio|9.6|
28|2020-07-31 00:39|29.0|Getz / Gilberto [Disco de Vinil]|||Getz|Disco de Vinil|248.12|
29|2020-07-31 00:39|30.0|Good Thing [CD]|||Leon Bridges|CD de áudio|9.9|
30|2020-07-31 00:39|31.0|21|||Adele|Disco de Vinil|177.41|
