|time|Rank|Product Names|Stars|Reviews|Authors/Company|Edition/Console|Price_std_or_min|Max_prices
0|2020-08-01 18:21|1.0|Marcador de Pagina Adesivo MemoNote, Adelbras, 8 Cores Neon, Pacote de 200|||||11.84|
1|2020-08-01 18:21|2.0|Blocos de Notas Adesivas Post-it Tropical - 4 Blocos de 38 x 50 mm - 50 folhas cada, HB004402267, Multicor|||||6.9|
2|2020-08-01 18:21|3.0|Caneta Marca Texto, Faber-Castell, Grifpen, MT/TP6ZF, 6 Cores, Tons Pastel|||||19.9|
3|2020-08-01 18:21|4.0|Esferográfica Trilux 032 Médium, Faber-Castell, SM/032AZ, Azul|||||2.4|
4|2020-08-01 18:21|5.0|SUPORTE para NOTEBOOK ST35031 PRETO, MASTICMOL, 0|||||29.82|
5|2020-08-01 18:21|6.0|Caderno Colado ao Alto Meia Pauta Académie 80 Folhas, Tilibra|||||9.9|26.5
6|2020-08-01 18:21|7.0|Marcador de Texto em Cores Pastéis, BIC, 970913, 4 Unidades|||||11.9|
7|2020-08-01 18:21|8.0|Caneta Marca Texto, Stabilo, BOSS 52.8200, 4 Cores, Tons Pastel|||||24.5|69.98
8|2020-08-01 18:21|9.0|Caneta Esferográfica 1.0mm, BIC, 835205, Azul, 50 Unidades|||||25.5|79.0
9|2020-08-01 18:21|10.0|Marca Texto Grifpen, Faber-Castell, Sm/Mtam2Zf, Amarela, Pacote de 2|||||4.0|
10|2020-08-01 18:21|11.0|Chamequinho Papel A4, 210 x 297 mm, 100 Folhas, Amarelo|||||5.13|11.78
11|2020-08-01 18:21|12.0|Caneta Marca Texto, Faber-Castell, Grifpen, MT/ESZF, 4 Cores|||||8.8|
12|2020-08-01 18:21|13.0|Pincel Aquash Brush Com Reservatório De Agua, Ponta Chanfrada, Pentel, Xp/Frh-Mh, Transparente|||||18.9|39.9
13|2020-08-01 18:21|14.0|Suporte para Livros, Acrimet, Bibliocanto Premium, 1 Par, Amarelo|||||16.62|31.84
14|2020-08-01 18:21|15.0|Bloco de Notas Super Adesivas Post-it Refil Céu Azul 76 mm x 76 mm - 90 folhas|||||5.2|20.67
15|2020-08-01 18:21|16.0|Caneta Fine Pen, Faber-Castell, SM/FPBPRZF, Preta|||||11.65|
16|2020-08-01 18:21|17.0|Bloco de Notas Super Adesivas Post-it Azul 76 mm x 76 mm - 90 folhas|||||7.07|22.65
17|2020-08-01 18:21|18.0|Acrimet 291-0 Organizador de Escritório, Preto|||||16.5|
18|2020-08-01 18:21|19.0|Caneta Marca Texto Gel, Faber-Castell, SuperSoft, SM/1557, Amarelo|||||4.5|10.12
19|2020-08-01 18:21|20.0|Pelikan Borracha Limpa Tipo, Cinza, Pacote de 1|||||7.2|
20|2020-08-01 18:21|21.0|Bacchi 8039, Clips, Multicolor, Pacote de 100|||||2.77|
21|2020-08-01 18:21|22.0|Caneta Hidrográfica Point 88, Stabilo, 113.1402, Azul Escuro, Blister c/1 unidade|||||4.9|8740.0
22|2020-08-01 18:21|23.0|Bloco Canson Desenho Branco A4 200g/m² com 20 folhas|||||14.9|31.39
23|2020-08-01 18:21|24.0|Caneta Ponta Pincel, Faber-Castell, Supersoft Brush, 15.0706TPSOFT, 6 Cores Pastel|||||23.9|
24|2020-08-01 18:21|25.0|Caneta Ponta Fina, Faber-Castell, Fine Pen, FPB/ES2ZF, 4 Cores|||||12.4|
25|2020-08-01 18:21|26.0|Corretivo em Fita 5mmX6m Aqua, Tilibra|||||5.9|20.98
26|2020-08-01 18:21|27.0|Fila Canson Bloco Para Educação Artística Aquarela A4 12 Folhas, Branco|||||25.52|
27|2020-08-01 18:21|28.0|Caderno Grip Pautado 80 Folhas Azul Chuva, Faber-Castell, CDNOFF/AZ, Mista|||||24.9|44.19
28|2020-08-01 18:21|29.0|Caderno Sketchbook Espiral Capa Plástica A4 Académie 50 Folhas,Tilibra - 1 un|||||23.95|
29|2020-08-01 18:21|30.0|Caneta Esferográfica, CIS, SUGAR CAP 58.6700, Multicor|||||9.1|
30|2020-08-01 18:21|31.0|Lápis de Cor Ecolápis Bicolor 24 Lápis/48 Cores Faber Castell|||||34.27|
31|2020-08-01 18:21|32.0|Sinoart Esfuminho Para Desenho, Esfuminho Desenho SFT026 6, Branco|||||5.9|
32|2020-08-01 18:21|33.0|Bloco Canson Desenho Branco A3 180g/m² com 20 folhas|||||10.6|44.55
33|2020-08-01 18:21|34.0|Binder Clip, CIS, 291.5100, Preto, pacote de 12|||||4.9|
34|2020-08-01 18:21|35.0|Lápis de Cor Sextavado, Faber-Castell, EcoLápis Metallic, 120410G, 10 Cores|||||19.9|
35|2020-08-01 18:21|36.0|Cola Gel 2 Bicos, Faber-Castell, SM/8140GEL, 34g|||||4.96|
36|2020-08-01 18:21|37.0|Caneta Esferográfica, Faber-Castell, Ice 061, SM/ICEOFFICE, 3 Cores, Azul/Vermelho/Preto|||||9.7|
37|2020-08-01 18:21|38.0|Marcador de Página Adesivo Post-it Flags 5 Cores Neon 11,9 mm x 43,2 mm - 100 folhas|||||13.2|
38|2020-08-01 18:21|39.0|Borracha Hi-Polymer Eraser Soft, Pentel, SM/ZES-08E, Branco, Grande|||||3.0|5900.0
39|2020-08-01 18:21|40.0|Caneta Esferográfica, BIC, Cristal Fashion, 6 unidades|||||9.4|
40|2020-08-01 18:21|41.0|Blocos de Notas Adesivas Post-it Amarelo - 4 Blocos de 38 mm x 50 mm - 100 folhas cada|||||11.6|33.03
41|2020-08-01 18:21|42.0|Ficha Pautada 3x5 7, 5x12, 4cm São Domingos, Multicor, pacote de 100|||||5.82|21.9
42|2020-08-01 18:21|43.0|Meu Primeiro Giz de Cera 6 Cores Académie,Tilibra - 1 un|||||12.9|
43|2020-08-01 18:21|44.0|Borracha Branca com Capa Plástica Académie Média - Blister com 2 Unidades,Tilibra|||||3.41|
44|2020-08-01 18:21|45.0|Lápis Grafite Redondo, Faber-Castell, EcoLápis SuperSoft Black, SM/907SOFT, Preto, 4 Unidades|||||8.05|
45|2020-08-01 18:21|46.0|Caneta Energel Makkuro 0.5 mm, Pentel, SM/BLN415-ABC, Preta/Vermelha/Azul|||||21.4|
