|time|Rank|Product Names|Stars|Reviews|Authors/Company|Edition/Console|Price_std_or_min|Max_prices
0|2020-08-01 18:22|1.0|Tapete Higiênico Petlike Ultra Pads|||||49.9|
1|2020-08-01 18:22|2.0|Ração Whiskas Frango Para Gatos Adultos 10,1 kg|||||119.9|
2|2020-08-01 18:22|3.0|BAW WAW AREIA SANITÁRIA PERFUMADA PARA GATOS 4kg||||||
3|2020-08-01 18:22|4.0|Ração Baw Waw Natural Pro para gatos adultos sabor Carne e Arroz - 2,5kg|||||8.99|11.64
4|2020-08-01 18:22|5.0|Shampoo Pet Life Chocolate 5 Litros Pet Life para Cães|||||10.63|125.99
5|2020-08-01 18:22|6.0|Palito Petitos Petitos Sabor Carne 1kg|||||34.99|
6|2020-08-01 18:22|7.0|Luva Escova Nano Magnética Tira Pelos Dos Pets Cães E Gatos|||||14.9|
7|2020-08-01 18:22|8.0|Acessório Bola De Borracha Sanremo Para Cães, Rosa|||||19.39|
8|2020-08-01 18:22|9.0|Biscoito Para Cachorros Pedigree Marrobone Carne Adultos 200g|||||8.9|18.08
9|2020-08-01 18:22|10.0|Nestlé Purina Friskies Ração Úmida Para Gatos Adultos Frango Ao Molho 85g|||||2.09|
10|2020-08-01 18:22|11.0|Fonte Bebedouro Automático Cães Gatos Tobo Fonte Água Corrente Bivolt 2,5L Azul|||||79.4|
11|2020-08-01 18:22|12.0|Ração Úmida Para Cachorros Pedigree Sachê Carne ao Molho Adultos Raças Pequenas 100g|||||2.15|
12|2020-08-01 18:22|13.0|Mordedor Formato Osso Corda Sanremo para Cães, Bege|||||19.76|
13|2020-08-01 18:22|14.0|Nestlé Purina Friskies Ração Úmida Para Gatos Adultos Atum Ao Molho 85G|||||1.99|2500.0
14|2020-08-01 18:22|15.0|Acessório De Pelúcia Para Cães Baby Urso Sanremo Para Cães, Colorido|||||24.18|45.21
15|2020-08-01 18:22|16.0|Comedouro GermanHart Dual Pink M 475ml|||||14.09|57.53
16|2020-08-01 18:22|17.0|Limpador Veja Pets Eliminador de Odores Citrus, 2L|||||18.71|
17|2020-08-01 18:22|18.0|Ração Baw Waw Natural Pro para gatos filhotes sabor Carne e Arroz - 1kg|||||11.4|
18|2020-08-01 18:22|19.0|Petisco Funcional Para Gatos Whiskas Temptations Pelo Saudável Adultos 40g|||||5.49|7300.0
19|2020-08-01 18:22|20.0|Vermífugo Bayer Drontal Plus Vermífugo para Cães de até 10kg - 2 Comprimidos Sabor Carne|||||24.99|79.9
20|2020-08-01 18:22|21.0|Perfume Pet Life Sonho 120mL|||||13.19|
21|2020-08-01 18:22|22.0|Luva Remove Tira Pelos Nano Magnética Caes Gatos Escova Pente|||||25.9|
22|2020-08-01 18:22|23.0|Petisco Pedigree Dentastix Cuidado Oral Para Cães Adultos Raças Pequenas 3 Unidades|||||5.99|14.99
23|2020-08-01 18:22|24.0|Tapete Higiênico para Cães Blue Premium 30 Unidades|||||59.9|
24|2020-08-01 18:22|25.0|Ipet Green Digestive Grass Graminha Para Cães 50G IPET para Todas Todos os tamanhos de raça Todas as fases - Sabor Outro|||||16.88|
25|2020-08-01 18:22|26.0|Ração Pedigree Carne e Vegetais Para Cães Adultos Raças Médias e Grandes 1 kg Pedigree para Todas Todos os tamanhos de raça Adulto - Sabor Carne 1 kg|||||16.79|190.79
26|2020-08-01 18:22|27.0|Cama Pet para Cães e Gatos Osso Dog Tamanho Médio SS Pets para Cães|||||78.99|
27|2020-08-01 18:22|28.0|Fonte Bebedouro Automático Cães Gatos Tobo Fonte Água Corrente Bivolt 2,5L Preta|||||79.4|
28|2020-08-01 18:22|29.0|Jogo Americano Pet para Cães, Alklin Pet , Formato pata, Rosa|||||13.39|
29|2020-08-01 18:22|30.0|Escova com Bolinha M Germanhart|||||14.52|
30|2020-08-01 18:22|31.0|Cama Fábrica Pet para Cães, Pequeno, Azul|||||52.5|130.5
31|2020-08-01 18:22|32.0|Apoquel 16Mg, 20Compr Zoetis Para Cães|||||129.9|1068.9299999999998
32|2020-08-01 18:22|33.0|Educador Sanitário Sanol Dog para Cães|||||13.69|
33|2020-08-01 18:22|34.0|Casinha Plástica Furacão Pet Iglu N.1.0, Amarela Furacão Pet para Cães|||||49.9|259.99
34|2020-08-01 18:22|35.0|Acessório Osso De Borracha Sanremo Para Cães, Azul|||||15.66|
35|2020-08-01 18:22|36.0|Petisco Pedigree Dentastix Cuidado Oral Para Cães Adultos Raças Médias 3 Unidades|||||7.99|105.0
36|2020-08-01 18:22|37.0|Almofada Fábrica Pet para Cães, 1, Azul|||||27.39|37.9
37|2020-08-01 18:22|38.0|Molho Para Ração Ipet Tasty Dog Churrasco 250Gr IPET para Todas Todos os tamanhos de raça Todas as fases - Sabor Outro|||||4.28|
38|2020-08-01 18:22|39.0|Educador Sanitário Não Pode para Cães e Gatos Procão|||||15.75|
39|2020-08-01 18:22|40.0|Tapete Higiênico Petlike Ultra Pads|||||59.99|
40|2020-08-01 18:22|41.0|ARRANHADOR  TAMANHO M PELUCIA||||||
41|2020-08-01 18:22|42.0|Coleira Antipulgas e Carrapatos Bayer Seresto para Cães e Gatos de até 8kg|||||150.0|
42|2020-08-01 18:22|43.0|Ração Hill's Science Diet para Cães Filhotes - Raças Pequenas e Miniatura - 1kg|||||55.9|191.7
43|2020-08-01 18:22|44.0|Brinquedo para Gatos JW Varinha Azul JW para Gatos, Azul|||||24.75|28.99
44|2020-08-01 18:22|45.0|Bolsa de Transporte Para Cabine de Avião para Cães e Gatos (Grande, Preta), Pandora Pet&Go|||||118.82|251.99
45|2020-08-01 18:22|46.0|Bravecto Cães 10 até 20kg, 500mg Bravecto para Cães, 10 até 20kg|||||141.9|682.2
46|2020-08-01 18:22|47.0|Simparic 80mg, 20,1 até 40kg, 03 Compr Zoetis para Cães|||||185.0|
