|time|Rank|Product Names|Stars|Reviews|Authors/Company|Edition/Console|Price_std_or_min|Max_prices
0|2020-07-31 00:39|1.0|Jogo Uno - Copag|||||16.9|
1|2020-07-31 00:39|2.0|Quebra-cabeça Praga 1000 peças GROW - exclusivo Amazon||||||
2|2020-07-31 00:39|3.0|Torre Equilíbrio Junges Madeira|||||30.0|
3|2020-07-31 00:39|4.0|Potinhos Empilhar e Rolar, Fisher Price, Mattel|||||43.7|
4|2020-07-31 00:39|5.0|Sacola de 80 Blocos, Mega Bloks, Mattel|||||87.0|
5|2020-07-31 00:39|6.0|Xilofone, Fisher Price, Mattel|||||89.0|
6|2020-07-31 00:39|7.0|Empurra Tartaruga, Fisher Price, Mattel|||||49.9|
7|2020-07-31 00:39|8.0|Lápis de Cor, Faber-Castell, EcoLápis Supersoft, 120750SOFT, 50 Cores|||||94.34|
8|2020-07-31 00:39|9.0|Massa Modelar 8 Potes Clássicos, Play-Doh, Multicor|||||26.9|
9|2020-07-31 00:39|10.0|Pista Hot Wheels com Estação Cientifica, Mattel|||||139.99|
10|2020-07-31 00:39|11.0|Estojo de Aquarelas com 12 Cores e 1 Pincel, Molin 18385, Multicor|||||11.97|
11|2020-07-31 00:39|12.0|Jogo Pula Macaco Brinquedos Estrela|||||34.99|
12|2020-07-31 00:39|13.0|Aquarela Htp Pentel A Base De Água 12 Cores, Pentel, Htp-12B, 12 Cores|||||28.69|
13|2020-07-31 00:39|14.0|Lápis de Cor, Faber-Castell, EcoLápis Supersoft, 120724SOFT, 24 Cores|||||49.28|
14|2020-07-31 00:39|15.0|Jogo Desafio das Mãozinhas, Mattel|||||99.9|
15|2020-07-31 00:39|16.0|Jogo Banco Imobiliário Brinquedos Estrela|||||98.0|
16|2020-07-31 00:39|17.0|Brincando de Engenheiro 73 Peças Xalingo|||||16.9|
17|2020-07-31 00:39|18.0|Conjunto de Massinha Play-Doh Fábrica de Macarrão 5 Potes Hasbro|||||43.99|
18|2020-07-31 00:39|19.0|Hasbro Gaming Jogo Gaming Twister Novo|||||84.9|
19|2020-07-31 00:39|20.0|LEGO City Unidade de Cães-Policiais 60241 Kit de Construção (67 peças)|||||45.0|
20|2020-07-31 00:39|21.0|Zebra Blocos Surpresa - Fisher Price|||||79.9|
21|2020-07-31 00:39|22.0|Canetinha Hidrográfica, Faber-Castell, 15.0112CZF, 12 Cores|||||13.68|
22|2020-07-31 00:39|23.0|Conjunto de construção Avião Correio LEGO City 60250 (74 peças)|||||58.74|
23|2020-07-31 00:39|24.0|Coup - Mandala Jogos|||||64.9|
24|2020-07-31 00:39|25.0|Bandido, PaperGames|||||39.9|
25|2020-07-31 00:39|26.0|Chocalho Mickey, Elka, Azul Escuro Com Azul Claro|||||9.99|27.9
