|time|Rank|Product Names|Stars|Reviews|Authors/Company|Edition/Console|Price_std_or_min|Max_prices
0|2020-07-31 00:39|1.0|Controle Dualshock 4 - PlayStation 4 - Preto|||PlayStation|PlayStation 4|269.9|
1|2020-07-31 00:39|2.0|Death Stranding - Edição Padrão - PlayStation 4|||Playstation|PlayStation 4|78.9|
2|2020-07-31 00:39|3.0|Fone De Ouvido Headset Gamer Com Led Warrior - Ph219|||||139.9|
3|2020-07-31 00:39|4.0|Horizon Zero Dawn Complete Edition Hits - PlayStation 4|||Playstation|PlayStation 4|53.9|
4|2020-07-31 00:39|5.0|Mouse Multilaser Sem Fio 2.4 Ghz 1600 Dpi Preto Usb - MO221|||||27.16|
5|2020-07-31 00:39|6.0|The Last of Us Part II - Edição  Padrão - PlayStation 4|||Playstation|PlayStation 4|246.39|
6|2020-07-31 00:39|7.0|Ghost Of Tsushima Edição Padrão - PlayStation 4|||Playstation|PlayStation 4|246.39|
7|2020-07-31 00:39|8.0|Fone de Ouvido Multilaser Profissional Giant P2 - PH049|||||59.41|
8|2020-07-31 00:39|9.0|Controle Dualshock 4 - PlayStation 4 - Berry Blue|||PlayStation|PlayStation 4|289.0|
9|2020-07-31 00:39|10.0|Fortrek OM-801, Mouse Gamer USB, 3200 DPI, Preto/Verde|||||41.0|
10|2020-07-31 00:39|11.0|Controle Dualshock 4 - PlayStation 4 - Branco Glacial|||PlayStation|PlayStation 4|275.41|
11|2020-07-31 00:39|12.0|Teclado e Mouse kit Gamer Com Fio Gk-20 C3tech|||||63.42|
12|2020-07-31 00:39|13.0|Mouse Gamer PRO M5 RGB Preto FORTREK, Fortrek, Mouses|||||73.9|
13|2020-07-31 00:39|14.0|HEADSET GAMER CLOUD CORE, Hyper X, KHX-HSCC-BK|||||409.0|
14|2020-07-31 00:39|15.0|Headset Sem Fio Série Ouro - Preto - Playstation 4|||Playstation|PlayStation 4|445.59|
15|2020-07-31 00:39|16.0|Marvel's Spider-Man - Edição Jogo do Ano - PlayStation 4|||Playstation|PlayStation 4|126.9|
16|2020-07-31 00:39|17.0|Headphone, One for All PC/Gaming SV5341, Preto|||||34.84|
17|2020-07-31 00:39|18.0|Console PlayStation 4 Mega Pack 12 - God Of War, Gran Turismo, Days Gone|||SONY PLAYSTATION|PlayStation 4|0.024901200000000002|
18|2020-07-31 00:39|19.0|Final Fantasy VII Remake - Edição Padrão - PlayStation 4|||SQUARE ENIX|PlayStation 4|189.99|
19|2020-07-31 00:39|20.0|Uncharted 4 Thief`s End Hits - PlayStation 4|||Playstation|PlayStation 4|49.99|
20|2020-07-31 00:39|21.0|Headset Gamer Harve, Warrior, PH298, Preto/Verde|||||106.53|
21|2020-07-31 00:39|22.0|CABO REDE CAT.5E 2.5M PC-ETHU25BL PATCH CORD, Plus Cable, Cabos para computadores e notebooks|||||9.9|
22|2020-07-31 00:39|23.0|Microsoft Xbox Live Gold - 12 Meses + Chaveiro|||Microsoft|Xbox|149.0|
23|2020-07-31 00:39|24.0|Medievil - PlayStation 4|||Playstation|PlayStation 4|55.92|
24|2020-07-31 00:39|25.0|Days Gone - PlayStation 4|||Playstation|PlayStation 4|66.09|
25|2020-07-31 00:39|26.0|Mouse Gamer USB 3200DPI Spider 2, Fortrek, Mouses, Preta/Vermelho|||||40.91|
26|2020-07-31 00:39|27.0|Mouse Gamer PRO M3 RGB Preto FORTREK, Fortrek, Mouses|||||95.83|
27|2020-07-31 00:39|28.0|Razer Headset Kraken X Multi Platform|||||423.51|
28|2020-07-31 00:39|29.0|Headset Gamer Warrior, P2, Fone De Ouvido com Microfone - PH101|||||89.0|
29|2020-07-31 00:39|30.0|MOUSE GAMER HP LED MULTICORES, PRETO USB, 1000 DPI - M160|||||56.27|
30|2020-07-31 00:39|31.0|Headset Gamer Scylla H901, Redragon, Microfones e Fones de Ouvido, Preto|||||129.9|
31|2020-07-31 00:39|32.0|Headset Gamer Hyperx Cloud II, Kingston, KHX-HSPC-RD, Preto e Vermelho|||||611.0|
32|2020-07-31 00:39|33.0|Final Fantasy VII Remake - Edição Steelbook - PlayStation 4|||SQUARE ENIX|PlayStation 4|279.0|
33|2020-07-31 00:39|34.0|Headset CloudX Stinger Core para Xbox|||HyperX|Xbox|315.68|
34|2020-07-31 00:39|35.0|The Last Of Us Remasterizado Hits - PlayStation 4|||Playstation|PlayStation 4|61.32|
35|2020-07-31 00:39|36.0|Fone de Ouvido Sem Fio Bluetooth i7S Esportivo Estéreo|||||39.3|
36|2020-07-31 00:39|37.0|HYperX Gaming Mouse Pulsefire Surge RGB|||||294.0|
37|2020-07-31 00:39|38.0|Left Alive Edição Day One - PlayStation 4|||SQUARE ENIX|PlayStation 4|39.99|
38|2020-07-31 00:39|39.0|Nioh 2 - PlayStation 4|||Playstation|PlayStation 4|120.18|
39|2020-07-31 00:39|40.0|Headset Gamer, Philips, SHM1900/00, Preto|||||72.0|
40|2020-07-31 00:39|41.0|Fone De Ouvido Multilaser Monster High P2 - PH105|||||9.9|
41|2020-07-31 00:39|42.0|God Of War Hits - PlayStation 4|||Playstation|PlayStation 4|79.9|
42|2020-07-31 00:39|43.0|HyperX ChargePlay Duo - Carregador Duplo para Controle de PS4, HyperX, Preto/Cinza|||HyperX|PlayStation 4|189.9|
43|2020-07-31 00:39|44.0|Controle Dualshock 4 - PlayStation 4 - Camuflado|||PlayStation|PlayStation 4|289.0|
44|2020-07-31 00:39|45.0|Fone Com Microfone Usb Preto Microsoft - JUG00013|||||291.65|
45|2020-07-31 00:39|46.0|Red Dead Redemption 2 - PlayStation 4|||TAKE-TWO|PlayStation 4|155.68|
46|2020-07-31 00:39|47.0|Headset Razer Kraken X For Console|||||389.9|
47|2020-07-31 00:39|48.0|Pro Evolution Soccer eFootball PES 2020 - PlayStation 4|||Playstation|PlayStation 4|119.99|
48|2020-07-31 00:39|49.0|Cabo Rede CAT.6 1.5M PC-ETH6U15BL Patch Cord, Plus Cable, Cabos para computadores e notebooks, Azul|||||12.75|
49|2020-07-31 00:39|50.0|Control - Edição Padrão - PlayStation 4|||Playstation|PlayStation 4|129.99|
